method,idea_alignment_score,crop_specificity_score,event_validation_score,recoverability_score,physical_plausibility_score,no_leakage_check,median_recoverable_fraction,weather_driven_rate,event_expected_match_rate,total_score
00_baseline_v1_raw_yield_scaa,7,7,8.285714285714286,3.2021317942099548,7,True,0.3787441158513367,0.2616822429906542,0.8285714285714286,6.497569215984849
01_residual_target_scaa,10,8,6.285714285714286,4.769011045203827,8,True,0.4818395922183355,0.4719626168224299,0.6285714285714286,7.510945066183623
02_grouped_driver_scaa,9,10,8.857142857142858,6.61563479446076,9,True,0.5894820990790681,0.7336448598130841,0.8857142857142857,8.744555530320724
06_grouped_driver_scaa_temporal_holdout,10,10,9.142857142857142,0.8595572321242929,9,True,0.11583668006971841,0.056074766355140186,0.9142857142857143,7.900482874996287
03_observed_analog_counterfactual,8,9,9.714285714285714,9.125645087447873,10,True,0.8531664006671449,0.9719626168224299,0.9714285714285714,9.017986160346718
04_crop_specific_vulnerability_profiles,7,10,0.0,0.6701480811931687,9,True,,,,5.284029616238634
05_early_mid_warning_improved,5,6,0.0,6.015398200833934,8,True,,,,4.753079640166787
