crop,region,year,window,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,n_changed_features,changed_features_json
Barley,Washington,1992,spring,excess_rain,heavy_rain_days_25,2.421,3.2568276319176324,0.8358276319176325,-0.7184904875655648,-0.22270719986213997,0.49578328770342484,0.5931645099671486,7,"[{""feature"": ""heavy_rain_days_10"", ""from"": 6.0, ""to"": 2.0, ""standardized_delta"": 2.4798, ""prediction_gain_t_ha"": 0.4958}, {""feature"": ""heavy_rain_days_20"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 2.1685, ""prediction_gain_t_ha"": 0.4958}, {""feature"": ""heavy_rain_days_25"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 4.5595, ""prediction_gain_t_ha"": 0.4958}, {""feature"": ""max_1day_rain"", ""from"": 29.56, ""to"": 13.15, ""standardized_delta"": 3.2494, ""prediction_gain_t_ha"": 0.4958}, {""feature"": ""max_3day_rain"", ""from"": 39.0, ""to"": 22.8, ""standardized_delta"": 1.7006, ""prediction_gain_t_ha"": 0.4958}, {""feature"": ""max_7day_rain"", ""from"": 41.16, ""to"": 36.6, ""standardized_delta"": 0.428, ""prediction_gain_t_ha"": 0.4958}, {""feature"": ""wet_days_1mm"", ""from"": 58.0, ""to"": 52.0, ""standardized_delta"": 0.5129, ""prediction_gain_t_ha"": 0.4958}]"
Wheat,Nebraska,1992,winter,heat,heatwave_events_3d_30,2.0175,2.416996151866151,0.39949615186615084,-0.32945414932722744,-0.09026664978769279,0.23918749953953466,0.5987229124041055,10,"[{""feature"": ""season_tmax_mean"", ""from"": 14.443, ""to"": 14.113, ""standardized_delta"": 0.2672, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""season_tmean_mean"", ""from"": 8.222, ""to"": 7.8855, ""standardized_delta"": 0.3204, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""growing_degree_days_base5"", ""from"": 1658.655, ""to"": 1671.615, ""standardized_delta"": 0.0728, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""heat_days_30"", ""from"": 12.0, ""to"": 23.0, ""standardized_delta"": 1.2885, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""heat_days_35"", ""from"": 0.0, ""to"": 3.0, ""standardized_delta"": 0.6775, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 2.0, ""to"": 6.0, ""standardized_delta"": 1.4458, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""max_consecutive_heat_days_35"", ""from"": 0.0, ""to"": 1.5, ""standardized_delta"": 0.6256, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""heatwave_events_3d_30"", ""from"": 0.0, ""to"": 3.0, ""standardized_delta"": 1.778, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""heat_degree_days_30"", ""from"": 19.61, ""to"": 60.41, ""standardized_delta"": 1.0068, ""prediction_gain_t_ha"": 0.2392}, {""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 2.69, ""standardized_delta"": 0.2974, ""prediction_gain_t_ha"": 0.2392}]"
Wheat,Washington,1992,winter,drought,max_dry_spell_1mm,3.3222,3.901601823251818,0.5794018232518181,-0.6014500421648208,-0.1830542586280562,0.4183957835367646,0.7221167879461824,8,"[{""feature"": ""rain_sum"", ""from"": 710.2, ""to"": 771.81, ""standardized_delta"": 0.4564, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""rain_mean"", ""from"": 2.336, ""to"": 2.539, ""standardized_delta"": 0.4563, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""dry_days_1mm"", ""from"": 175.0, ""to"": 156.5, ""standardized_delta"": 0.9364, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""dry_days_2mm"", ""from"": 208.0, ""to"": 198.0, ""standardized_delta"": 0.6541, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""max_dry_spell_1mm"", ""from"": 32.0, ""to"": 17.0, ""standardized_delta"": 2.2947, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""dry_spell_events_7d"", ""from"": 8.0, ""to"": 7.0, ""standardized_delta"": 0.4329, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""dry_spell_events_14d"", ""from"": 4.0, ""to"": 2.0, ""standardized_delta"": 1.766, ""prediction_gain_t_ha"": 0.4184}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 4.0, ""to"": 0.0, ""standardized_delta"": 1.9669, ""prediction_gain_t_ha"": 0.4184}]"
Barley,Colorado,1993,spring,excess_rain,max_7day_rain,4.5731,5.169945336765323,0.5968453367653233,-0.43538986919043393,-0.1542400310980486,0.28114983809238536,0.47105978848073354,5,"[{""feature"": ""heavy_rain_days_10"", ""from"": 1.0, ""to"": 3.0, ""standardized_delta"": 1.1067, ""prediction_gain_t_ha"": 0.2811}, {""feature"": ""max_1day_rain"", ""from"": 12.43, ""to"": 16.57, ""standardized_delta"": 0.6392, ""prediction_gain_t_ha"": 0.2811}, {""feature"": ""max_3day_rain"", ""from"": 15.66, ""to"": 28.61, ""standardized_delta"": 1.2936, ""prediction_gain_t_ha"": 0.2811}, {""feature"": ""max_7day_rain"", ""from"": 20.49, ""to"": 42.74, ""standardized_delta"": 1.7146, ""prediction_gain_t_ha"": 0.2811}, {""feature"": ""wet_days_1mm"", ""from"": 72.0, ""to"": 71.0, ""standardized_delta"": 0.0778, ""prediction_gain_t_ha"": 0.2811}]"
Oats,Illinois,1993,spring,drought,dry_days_1mm,1.8292,2.2663275203775086,0.4371275203775087,-0.4475895262494309,-0.04743859025731381,0.40015093599211704,0.9154100744939183,7,"[{""feature"": ""rain_sum"", ""from"": 878.39, ""to"": 595.445, ""standardized_delta"": 2.3408, ""prediction_gain_t_ha"": 0.4002}, {""feature"": ""rain_mean"", ""from"": 4.8, ""to"": 3.254, ""standardized_delta"": 2.3407, ""prediction_gain_t_ha"": 0.4002}, {""feature"": ""dry_days_1mm"", ""from"": 81.0, ""to"": 112.0, ""standardized_delta"": 3.2354, ""prediction_gain_t_ha"": 0.4002}, {""feature"": ""dry_days_2mm"", ""from"": 96.0, ""to"": 126.0, ""standardized_delta"": 3.1645, ""prediction_gain_t_ha"": 0.4002}, {""feature"": ""max_dry_spell_1mm"", ""from"": 5.0, ""to"": 12.5, ""standardized_delta"": 1.968, ""prediction_gain_t_ha"": 0.4002}, {""feature"": ""dry_spell_events_7d"", ""from"": 0.0, ""to"": 5.0, ""standardized_delta"": 2.9289, ""prediction_gain_t_ha"": 0.4002}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 3.0, ""to"": 23.0, ""standardized_delta"": 1.3442, ""prediction_gain_t_ha"": 0.4002}]"
Oats,Iowa,1993,spring,drought,rain_mean,1.4347,2.2300232990132898,0.7953232990132897,-0.6327522157871693,-0.19440827653142365,0.43834393925574566,0.5511518898032698,7,"[{""feature"": ""rain_sum"", ""from"": 1122.72, ""to"": 603.345, ""standardized_delta"": 3.1951, ""prediction_gain_t_ha"": 0.4383}, {""feature"": ""rain_mean"", ""from"": 6.135, ""to"": 3.297, ""standardized_delta"": 3.1953, ""prediction_gain_t_ha"": 0.4383}, {""feature"": ""dry_days_1mm"", ""from"": 69.0, ""to"": 111.0, ""standardized_delta"": 2.8198, ""prediction_gain_t_ha"": 0.4383}, {""feature"": ""dry_days_2mm"", ""from"": 83.0, ""to"": 123.0, ""standardized_delta"": 3.0348, ""prediction_gain_t_ha"": 0.4383}, {""feature"": ""max_dry_spell_1mm"", ""from"": 6.0, ""to"": 12.0, ""standardized_delta"": 1.4381, ""prediction_gain_t_ha"": 0.4383}, {""feature"": ""dry_spell_events_7d"", ""from"": 0.0, ""to"": 4.0, ""standardized_delta"": 1.8769, ""prediction_gain_t_ha"": 0.4383}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 1.0, ""to"": 21.0, ""standardized_delta"": 1.2301, ""prediction_gain_t_ha"": 0.4383}]"
Oats,Kansas,1993,spring,excess_rain,heavy_rain_days_50,1.2195,1.734650960960959,0.515150960960959,-0.22416040285545757,0.010653738598764822,0.22416040285545757,0.4351353677712458,8,"[{""feature"": ""heavy_rain_days_10"", ""from"": 32.0, ""to"": 18.0, ""standardized_delta"": 2.5799, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""heavy_rain_days_20"", ""from"": 10.0, ""to"": 6.0, ""standardized_delta"": 1.4442, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""heavy_rain_days_25"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 1.1918, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""heavy_rain_days_50"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 3.0048, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""max_1day_rain"", ""from"": 50.98, ""to"": 33.98, ""standardized_delta"": 1.5881, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""max_3day_rain"", ""from"": 79.58, ""to"": 60.74, ""standardized_delta"": 1.1619, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""max_7day_rain"", ""from"": 136.46, ""to"": 85.665, ""standardized_delta"": 2.7604, ""prediction_gain_t_ha"": 0.2348}, {""feature"": ""wet_days_1mm"", ""from"": 90.0, ""to"": 67.0, ""standardized_delta"": 2.3362, ""prediction_gain_t_ha"": 0.2348}]"
Oats,Nebraska,1993,spring,drought,dry_days_2mm,1.5423,2.06665645216645,0.5243564521664501,-0.43251201510721543,-0.021080154059729583,0.41143186104748586,0.7846415531793288,7,"[{""feature"": ""rain_sum"", ""from"": 635.72, ""to"": 442.88, ""standardized_delta"": 1.8393, ""prediction_gain_t_ha"": 0.4114}, {""feature"": ""rain_mean"", ""from"": 3.474, ""to"": 2.42, ""standardized_delta"": 1.8395, ""prediction_gain_t_ha"": 0.4114}, {""feature"": ""dry_days_1mm"", ""from"": 98.0, ""to"": 115.0, ""standardized_delta"": 1.5298, ""prediction_gain_t_ha"": 0.4114}, {""feature"": ""dry_days_2mm"", ""from"": 110.0, ""to"": 132.0, ""standardized_delta"": 2.147, ""prediction_gain_t_ha"": 0.4114}, {""feature"": ""max_dry_spell_1mm"", ""from"": 11.0, ""to"": 12.0, ""standardized_delta"": 0.2153, ""prediction_gain_t_ha"": 0.4114}, {""feature"": ""dry_spell_events_7d"", ""from"": 2.0, ""to"": 5.0, ""standardized_delta"": 1.393, ""prediction_gain_t_ha"": 0.4114}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 10.0, ""to"": 41.0, ""standardized_delta"": 2.0928, ""prediction_gain_t_ha"": 0.4114}]"
Wheat,Iowa,1993,winter,drought,dry_days_2mm,1.6813,2.680891674876861,0.999591674876861,-0.8192041426453154,-0.47460423223519316,0.3445999104101222,0.34474067668938246,8,"[{""feature"": ""rain_sum"", ""from"": 912.92, ""to"": 648.04, ""standardized_delta"": 2.1208, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""rain_mean"", ""from"": 3.013, ""to"": 2.138, ""standardized_delta"": 2.1219, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""dry_days_1mm"", ""from"": 187.0, ""to"": 216.0, ""standardized_delta"": 2.1013, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""dry_days_2mm"", ""from"": 203.0, ""to"": 237.0, ""standardized_delta"": 3.2183, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""max_dry_spell_1mm"", ""from"": 22.0, ""to"": 21.0, ""standardized_delta"": 0.1446, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""dry_spell_events_7d"", ""from"": 7.0, ""to"": 11.0, ""standardized_delta"": 1.6538, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""dry_spell_events_14d"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.6227, ""prediction_gain_t_ha"": 0.3446}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 0.0, ""to"": 7.0, ""standardized_delta"": 1.0004, ""prediction_gain_t_ha"": 0.3446}]"
Barley,Texas,1994,spring,excess_rain,heavy_rain_days_25,1.7754,2.1288496969697093,0.3534496969697092,-0.2865916226779856,-0.04982896530020663,0.23676265737777896,0.6698623860980977,7,"[{""feature"": ""heavy_rain_days_10"", ""from"": 12.0, ""to"": 13.0, ""standardized_delta"": 0.2357, ""prediction_gain_t_ha"": 0.2368}, {""feature"": ""heavy_rain_days_20"", ""from"": 1.0, ""to"": 4.0, ""standardized_delta"": 1.2964, ""prediction_gain_t_ha"": 0.2368}, {""feature"": ""heavy_rain_days_25"", ""from"": 0.0, ""to"": 3.0, ""standardized_delta"": 1.743, ""prediction_gain_t_ha"": 0.2368}, {""feature"": ""max_1day_rain"", ""from"": 23.24, ""to"": 31.52, ""standardized_delta"": 0.5686, ""prediction_gain_t_ha"": 0.2368}, {""feature"": ""max_3day_rain"", ""from"": 61.36, ""to"": 59.33, ""standardized_delta"": 0.0926, ""prediction_gain_t_ha"": 0.2368}, {""feature"": ""max_7day_rain"", ""from"": 99.38, ""to"": 81.975, ""standardized_delta"": 0.5769, ""prediction_gain_t_ha"": 0.2368}, {""feature"": ""wet_days_1mm"", ""from"": 67.0, ""to"": 54.5, ""standardized_delta"": 0.9362, ""prediction_gain_t_ha"": 0.2368}]"
