crop,region,year,driver_group,feature,from_value,to_value,standardized_delta,prediction_gain_t_ha
Oats,South Dakota,2021,excess_rain,max_3day_rain,43.28,50.040000000000006,0.42605583217772125,0.4405780975261022
Oats,South Dakota,2021,excess_rain,max_7day_rain,62.03,64.325,0.09816803932193191,0.4405780975261022
Oats,South Dakota,2021,excess_rain,wet_days_1mm,49.0,64.0,1.9333140725575653,0.4405780975261022
Wheat,Minnesota,2021,heat,season_tmax_mean,23.357,21.208,1.93165783626686,0.41932230345399313
Wheat,Minnesota,2021,heat,season_tmean_mean,17.36,15.654,1.8433382475919127,0.41932230345399313
Wheat,Minnesota,2021,heat,growing_degree_days_base5,2298.605,2013.64,1.7577595049642973,0.41932230345399313
Wheat,Minnesota,2021,heat,heat_days_30,36.0,8.0,2.647039129278159,0.41932230345399313
Wheat,Minnesota,2021,heat,heat_days_35,2.0,0.0,1.1807154773837272,0.41932230345399313
Wheat,Minnesota,2021,heat,max_consecutive_heat_days_30,7.0,3.0,1.20185983219156,0.41932230345399313
Wheat,Minnesota,2021,heat,max_consecutive_heat_days_35,1.0,0.0,1.1953385946367752,0.41932230345399313
Wheat,Minnesota,2021,heat,heatwave_events_3d_30,5.0,1.0,2.48442079387168,0.41932230345399313
Wheat,Minnesota,2021,heat,heat_degree_days_30,76.05,9.31,2.2909862813896495,0.41932230345399313
Wheat,Minnesota,2021,heat,heat_degree_days_35,1.47,0.0,0.3720833230257711,0.41932230345399313
Wheat,Montana,2021,heat,season_tmax_mean,21.889,20.729,1.0430643985072503,0.5203005793260659
Wheat,Montana,2021,heat,season_tmean_mean,14.837,13.861,1.0517213778005432,0.5203005793260659
Wheat,Montana,2021,heat,growing_degree_days_base5,1902.33,1665.575,1.4606913720154708,0.5203005793260659
Wheat,Montana,2021,heat,heat_days_30,38.0,17.0,2.039604584078868,0.5203005793260659
Wheat,Montana,2021,heat,heat_days_35,3.0,0.0,1.3617061145619578,0.5203005793260659
Wheat,Montana,2021,heat,max_consecutive_heat_days_30,7.0,4.0,0.9652767121515003,0.5203005793260659
Wheat,Montana,2021,heat,max_consecutive_heat_days_35,2.0,0.0,2.065309521356291,0.5203005793260659
Wheat,Montana,2021,heat,heatwave_events_3d_30,6.0,2.0,2.2341776304507617,0.5203005793260659
Wheat,Montana,2021,heat,heat_degree_days_30,79.06,29.76,1.708674866570703,0.5203005793260659
Wheat,Montana,2021,heat,heat_degree_days_35,0.63,0.0,0.23169100752426805,0.5203005793260659
Wheat,North Dakota,2021,drought,rain_sum,268.88,372.59,1.2420133036890277,0.6749804357550278
Wheat,North Dakota,2021,drought,rain_mean,1.469,2.036,1.2425189872870792,0.6749804357550278
Wheat,North Dakota,2021,drought,dry_days_1mm,141.0,121.0,2.2534019244823256,0.6749804357550278
Wheat,North Dakota,2021,drought,dry_days_2mm,150.0,139.0,1.4634341760904852,0.6749804357550278
Wheat,North Dakota,2021,drought,max_dry_spell_1mm,18.0,14.0,0.952011379946782,0.6749804357550278
Wheat,North Dakota,2021,drought,dry_spell_events_7d,11.0,5.0,3.461432049562381,0.6749804357550278
Wheat,North Dakota,2021,drought,hot_dry_days_30_1mm,48.0,18.0,3.1837393798476303,0.6749804357550278
Wheat,South Dakota,2021,excess_rain,heavy_rain_days_10,14.0,11.0,0.7572270390424075,0.6622699645202044
Wheat,South Dakota,2021,excess_rain,heavy_rain_days_20,1.0,3.0,1.0697867019029743,0.6622699645202044
Wheat,South Dakota,2021,excess_rain,heavy_rain_days_25,0.0,1.0,0.8239832107542928,0.6622699645202044
Wheat,South Dakota,2021,excess_rain,max_1day_rain,23.4,30.6,0.722614337183766,0.6622699645202044
Wheat,South Dakota,2021,excess_rain,max_3day_rain,43.28,50.040000000000006,0.42605583217772125,0.6622699645202044
Wheat,South Dakota,2021,excess_rain,max_7day_rain,62.03,64.325,0.09816803932193191,0.6622699645202044
Wheat,South Dakota,2021,excess_rain,wet_days_1mm,49.0,64.0,1.9333140725575653,0.6622699645202044
Wheat,Washington,2021,heat,season_tmax_mean,9.53,8.346,1.2680322228624468,0.7516333999034515
Wheat,Washington,2021,heat,season_tmean_mean,4.692,3.6825,1.2034697089034072,0.7516333999034515
Wheat,Washington,2021,heat,growing_degree_days_base5,979.615,714.1225,1.9368818982139744,0.7516333999034515
Wheat,Washington,2021,heat,heat_days_30,8.0,0.0,3.927421109621807,0.7516333999034515
Wheat,Washington,2021,heat,heat_days_35,4.0,0.0,6.000000000000002,0.7516333999034515
Wheat,Washington,2021,heat,max_consecutive_heat_days_30,6.0,0.0,4.2134812990607005,0.7516333999034515
Wheat,Washington,2021,heat,max_consecutive_heat_days_35,4.0,0.0,6.000000000000002,0.7516333999034515
Wheat,Washington,2021,heat,heatwave_events_3d_30,1.0,0.0,2.851145779868949,0.7516333999034515
Wheat,Washington,2021,heat,heatwave_events_3d_35,1.0,0.0,6.000000000000002,0.7516333999034515
Wheat,Washington,2021,heat,heat_degree_days_30,35.63,0.0,5.531253482323301,0.7516333999034515
Wheat,Washington,2021,heat,heat_degree_days_35,7.43,0.0,6.0,0.7516333999034515
Barley,Colorado,2022,excess_rain,heavy_rain_days_10,6.0,3.0,1.6600536156316388,0.5221243211707884
Barley,Colorado,2022,excess_rain,heavy_rain_days_20,1.0,0.0,2.4137793047859373,0.5221243211707884
Barley,Colorado,2022,excess_rain,heavy_rain_days_25,1.0,0.0,3.4280333180088163,0.5221243211707884
Barley,Colorado,2022,excess_rain,max_1day_rain,27.12,16.57,1.6288315201637626,0.5221243211707884
Barley,Colorado,2022,excess_rain,max_3day_rain,37.97,28.61,0.9349762075571725,0.5221243211707884
Barley,Colorado,2022,excess_rain,max_7day_rain,55.91,42.74,1.0148729695345815,0.5221243211707884
Barley,Colorado,2022,excess_rain,wet_days_1mm,69.0,71.0,0.1555950965845683,0.5221243211707884
Barley,Kansas,2022,heat,season_tmax_mean,30.177,28.6005,1.117687893675202,0.3637799411889245
Barley,Kansas,2022,heat,season_tmean_mean,23.219,22.094,1.0728142093147983,0.3637799411889245
Barley,Kansas,2022,heat,growing_degree_days_base5,3334.165,3134.24,1.0556363144622065,0.3637799411889245
Barley,Kansas,2022,heat,heat_days_30,109.0,84.0,1.431707161137749,0.3637799411889245
Barley,Kansas,2022,heat,heat_days_35,55.0,30.5,1.605367277770718,0.3637799411889245
Barley,Kansas,2022,heat,heat_days_40,8.0,2.0,0.8713264737238656,0.3637799411889245
Barley,Kansas,2022,heat,max_consecutive_heat_days_30,24.0,21.5,0.21810800935764246,0.3637799411889245
Barley,Kansas,2022,heat,max_consecutive_heat_days_35,12.0,8.0,0.7848563022556605,0.3637799411889245
Barley,Kansas,2022,heat,heatwave_events_3d_30,11.0,9.0,0.8944413436647901,0.3637799411889245
Barley,Kansas,2022,heat,heatwave_events_3d_35,8.0,4.0,1.9237400746173892,0.3637799411889245
Barley,Kansas,2022,heat,heat_degree_days_30,562.94,360.59,1.3824505268980984,0.3637799411889245
Barley,Kansas,2022,heat,heat_degree_days_35,145.34,69.38,1.136976245537391,0.3637799411889245
Barley,Montana,2022,heat,season_tmax_mean,20.858,20.729,0.11599595466158333,0.41997233801526357
Barley,Montana,2022,heat,season_tmean_mean,14.176,13.861,0.3394387643516095,0.41997233801526357
Barley,Montana,2022,heat,growing_degree_days_base5,1824.74,1665.575,0.9819895766798694,0.41997233801526357
Barley,Montana,2022,heat,heat_days_30,41.0,17.0,2.3309766675187067,0.41997233801526357
Barley,Montana,2022,heat,heat_days_35,5.0,0.0,2.2695101909365962,0.41997233801526357
Barley,Montana,2022,heat,max_consecutive_heat_days_30,9.0,4.0,1.6087945202525005,0.41997233801526357
Barley,Montana,2022,heat,max_consecutive_heat_days_35,1.0,0.0,1.0326547606781455,0.41997233801526357
Barley,Montana,2022,heat,heatwave_events_3d_30,5.0,2.0,1.6756332228380713,0.41997233801526357
Barley,Montana,2022,heat,heat_degree_days_30,90.71,29.76,2.1124489476163153,0.41997233801526357
Barley,Montana,2022,heat,heat_degree_days_35,4.49,0.0,1.6512581329904183,0.41997233801526357
Canola,Kansas,2022,heat,season_tmax_mean,30.177,28.6005,1.117687893675202,0.3120853751261552
Canola,Kansas,2022,heat,season_tmean_mean,23.219,22.094,1.0728142093147983,0.3120853751261552
Canola,Kansas,2022,heat,growing_degree_days_base5,3334.165,3134.24,1.0556363144622065,0.3120853751261552
Canola,Kansas,2022,heat,heat_days_30,109.0,84.0,1.431707161137749,0.3120853751261552
Canola,Kansas,2022,heat,heat_days_35,55.0,30.5,1.605367277770718,0.3120853751261552
Canola,Kansas,2022,heat,heat_days_40,8.0,2.0,0.8713264737238656,0.3120853751261552
Canola,Kansas,2022,heat,max_consecutive_heat_days_30,24.0,21.5,0.21810800935764246,0.3120853751261552
Canola,Kansas,2022,heat,max_consecutive_heat_days_35,12.0,8.0,0.7848563022556605,0.3120853751261552
Canola,Kansas,2022,heat,heatwave_events_3d_30,11.0,9.0,0.8944413436647901,0.3120853751261552
Canola,Kansas,2022,heat,heatwave_events_3d_35,8.0,4.0,1.9237400746173892,0.3120853751261552
Canola,Kansas,2022,heat,heat_degree_days_30,562.94,360.59,1.3824505268980984,0.3120853751261552
Canola,Kansas,2022,heat,heat_degree_days_35,145.34,69.38,1.136976245537391,0.3120853751261552
Canola,Oklahoma,2022,heat,season_tmax_mean,32.138,29.584,1.6678713204915343,0.39711901299903174
Canola,Oklahoma,2022,heat,season_tmean_mean,25.587,23.668,1.6354734316827153,0.39711901299903174
Canola,Oklahoma,2022,heat,growing_degree_days_base5,3767.475,3416.455,1.637650572618531,0.39711901299903174
Canola,Oklahoma,2022,heat,heat_days_30,125.0,94.0,1.7337907655610851,0.39711901299903174
Canola,Oklahoma,2022,heat,heat_days_35,68.0,32.0,1.7380675980266203,0.39711901299903174
Canola,Oklahoma,2022,heat,heat_days_40,18.0,1.0,1.4528224077267822,0.39711901299903174
Canola,Oklahoma,2022,heat,max_consecutive_heat_days_30,49.0,33.0,0.8131707154504058,0.39711901299903174
Canola,Oklahoma,2022,heat,max_consecutive_heat_days_35,29.0,12.0,1.4825659441598593,0.39711901299903174
Canola,Oklahoma,2022,heat,heatwave_events_3d_30,9.0,8.0,0.47470170284755536,0.39711901299903174
Canola,Oklahoma,2022,heat,heatwave_events_3d_35,5.0,4.0,0.5676617222925588,0.39711901299903174
Canola,Oklahoma,2022,heat,heat_degree_days_30,723.49,396.87,1.649775924601074,0.39711901299903174
Canola,Oklahoma,2022,heat,heat_degree_days_35,231.16,57.4,1.6433497909329304,0.39711901299903174
Oats,Kansas,2022,excess_rain,heavy_rain_days_10,16.0,18.0,0.36855517485876427,0.2376701728670162
Oats,Kansas,2022,excess_rain,max_1day_rain,48.24,33.98,1.3321672449478728,0.2376701728670162
Oats,Kansas,2022,excess_rain,max_3day_rain,93.58,60.74,2.02537234237848,0.2376701728670162
Oats,Kansas,2022,excess_rain,max_7day_rain,95.73,85.66499999999999,0.5469673308723986,0.2376701728670162
Oats,Kansas,2022,excess_rain,wet_days_1mm,48.0,67.0,1.9299386116179804,0.2376701728670162
Oats,Minnesota,2022,frost_cold,season_tmin_mean,10.233,10.003,0.2823555588285948,0.12862734560936737
Oats,Minnesota,2022,frost_cold,frost_days_0,25.0,17.0,1.3333512240612408,0.12862734560936737
Oats,Minnesota,2022,frost_cold,cold_days_5,43.0,41.0,0.2833730885055514,0.12862734560936737
Oats,Minnesota,2022,frost_cold,min_tmin,-7.84,-6.47,0.426973275756808,0.12862734560936737
Oats,Minnesota,2022,frost_cold,frost_events_2d,4.0,3.0,0.9722196454305163,0.12862734560936737
Oats,Nebraska,2022,drought,rain_sum,319.51,442.88,1.1766844565621633,0.20559078359046778
Oats,Nebraska,2022,drought,rain_mean,1.746,2.42,1.176304107608609,0.20559078359046778
Oats,Nebraska,2022,drought,dry_days_1mm,136.0,115.0,1.8897983581563353,0.20559078359046778
Oats,Nebraska,2022,drought,dry_days_2mm,151.0,132.0,1.85420321348643,0.20559078359046778
Oats,Nebraska,2022,drought,max_dry_spell_1mm,21.0,12.0,1.9378290536963572,0.20559078359046778
Oats,Nebraska,2022,drought,dry_spell_events_7d,6.0,5.0,0.4643168370055276,0.20559078359046778
Oats,Nebraska,2022,drought,dry_spell_events_14d,2.0,0.0,2.428158511552619,0.20559078359046778
Oats,Nebraska,2022,drought,hot_dry_days_30_1mm,70.0,41.0,1.9577847344295667,0.20559078359046778
Oats,Oklahoma,2022,heat,season_tmax_mean,32.138,29.584,1.6678713204915343,0.4013381634690888
Oats,Oklahoma,2022,heat,season_tmean_mean,25.587,23.668,1.6354734316827153,0.4013381634690888
Oats,Oklahoma,2022,heat,growing_degree_days_base5,3767.475,3416.455,1.637650572618531,0.4013381634690888
Oats,Oklahoma,2022,heat,heat_days_30,125.0,94.0,1.7337907655610851,0.4013381634690888
Oats,Oklahoma,2022,heat,heat_days_35,68.0,32.0,1.7380675980266203,0.4013381634690888
Oats,Oklahoma,2022,heat,heat_days_40,18.0,1.0,1.4528224077267822,0.4013381634690888
Oats,Oklahoma,2022,heat,max_consecutive_heat_days_30,49.0,33.0,0.8131707154504058,0.4013381634690888
Oats,Oklahoma,2022,heat,max_consecutive_heat_days_35,29.0,12.0,1.4825659441598593,0.4013381634690888
Oats,Oklahoma,2022,heat,heatwave_events_3d_30,9.0,8.0,0.47470170284755536,0.4013381634690888
Oats,Oklahoma,2022,heat,heatwave_events_3d_35,5.0,4.0,0.5676617222925588,0.4013381634690888
Oats,Oklahoma,2022,heat,heat_degree_days_30,723.49,396.87,1.649775924601074,0.4013381634690888
Oats,Oklahoma,2022,heat,heat_degree_days_35,231.16,57.4,1.6433497909329304,0.4013381634690888
Wheat,Colorado,2022,drought,rain_sum,266.21,300.645,0.5790514892203521,0.5405759921708823
Wheat,Colorado,2022,drought,rain_mean,0.879,0.992,0.5753424860459027,0.5405759921708823
Wheat,Colorado,2022,drought,dry_days_1mm,236.0,223.0,0.9600970047263738,0.5405759921708823
Wheat,Colorado,2022,drought,dry_days_2mm,260.0,258.5,0.1498929718022843,0.5405759921708823
Wheat,Colorado,2022,drought,max_dry_spell_1mm,24.0,23.5,0.0756656784686829,0.5405759921708823
Wheat,Colorado,2022,drought,dry_spell_events_7d,15.0,12.0,1.2850588106343581,0.5405759921708823
Wheat,Colorado,2022,drought,dry_spell_events_14d,4.0,3.5,0.305686247441416,0.5405759921708823
Wheat,Kansas,2022,heat,season_tmax_mean,18.531,17.119500000000002,1.1732352420421368,0.21471000451948624
Wheat,Kansas,2022,heat,season_tmean_mean,11.955,10.799,1.1868164513424582,0.21471000451948624
Wheat,Kansas,2022,heat,growing_degree_days_base5,2518.12,2250.5675,1.2550450170916385,0.21471000451948624
Wheat,Kansas,2022,heat,heat_days_30,52.0,37.0,1.1513858527267617,0.21471000451948624
Wheat,Kansas,2022,heat,heat_days_35,14.0,8.5,0.8950638132914306,0.21471000451948624
Wheat,Kansas,2022,heat,max_consecutive_heat_days_30,11.0,10.0,0.2525496410302542,0.21471000451948624
Wheat,Kansas,2022,heat,max_consecutive_heat_days_35,3.0,3.5,0.2049936875931589,0.21471000451948624
Wheat,Kansas,2022,heat,heatwave_events_3d_30,9.0,5.0,1.909682844687509,0.21471000451948624
Wheat,Kansas,2022,heat,heatwave_events_3d_35,2.0,1.0,0.9406548042051117,0.21471000451948624
Wheat,Kansas,2022,heat,heat_degree_days_30,181.46,124.07499999999999,0.9147614692751961,0.21471000451948624
Wheat,Kansas,2022,heat,heat_degree_days_35,19.8,13.05,0.3626862922830924,0.21471000451948624
Wheat,Montana,2022,heat,season_tmax_mean,20.858,20.729,0.11599595466158333,0.38294015122888375
Wheat,Montana,2022,heat,season_tmean_mean,14.176,13.861,0.3394387643516095,0.38294015122888375
Wheat,Montana,2022,heat,growing_degree_days_base5,1824.74,1665.575,0.9819895766798694,0.38294015122888375
Wheat,Montana,2022,heat,heat_days_30,41.0,17.0,2.3309766675187067,0.38294015122888375
Wheat,Montana,2022,heat,heat_days_35,5.0,0.0,2.2695101909365962,0.38294015122888375
Wheat,Montana,2022,heat,max_consecutive_heat_days_30,9.0,4.0,1.6087945202525005,0.38294015122888375
Wheat,Montana,2022,heat,max_consecutive_heat_days_35,1.0,0.0,1.0326547606781455,0.38294015122888375
Wheat,Montana,2022,heat,heatwave_events_3d_30,5.0,2.0,1.6756332228380713,0.38294015122888375
Wheat,Montana,2022,heat,heat_degree_days_30,90.71,29.76,2.1124489476163153,0.38294015122888375
Wheat,Montana,2022,heat,heat_degree_days_35,4.49,0.0,1.6512581329904183,0.38294015122888375
Wheat,Nebraska,2022,drought,rain_sum,303.89,423.49,1.0652756723925054,0.5278982097773682
Wheat,Nebraska,2022,drought,rain_mean,1.003,1.3955,1.0596634172283788,0.5278982097773682
Wheat,Nebraska,2022,drought,dry_days_1mm,261.0,236.5,2.1122284361530665,0.5278982097773682
Wheat,Nebraska,2022,drought,dry_days_2mm,275.0,255.5,1.9050870438176954,0.5278982097773682
Wheat,Nebraska,2022,drought,max_dry_spell_1mm,79.0,36.0,3.6688103833013272,0.5278982097773682
Wheat,Nebraska,2022,drought,dry_spell_events_7d,9.0,11.0,0.8497429242125429,0.5278982097773682
Wheat,Nebraska,2022,drought,dry_spell_events_14d,4.0,4.5,0.41522739926869984,0.5278982097773682
Wheat,Nebraska,2022,drought,hot_dry_days_30_1mm,29.0,17.0,1.6251419872420148,0.5278982097773682
Barley,Kansas,2023,heat,season_tmax_mean,30.22,28.6005,1.1481735133567958,0.6157389163415258
Barley,Kansas,2023,heat,season_tmean_mean,23.116,22.094,0.9745921083730865,0.6157389163415258
Barley,Kansas,2023,heat,growing_degree_days_base5,3315.53,3134.24,0.9572405024326808,0.6157389163415258
Barley,Kansas,2023,heat,heat_days_30,103.0,84.0,1.0880974424646892,0.6157389163415258
Barley,Kansas,2023,heat,heat_days_35,40.0,30.5,0.6224893526049723,0.6157389163415258
Barley,Kansas,2023,heat,heat_days_40,15.0,2.0,1.8878740264017089,0.6157389163415258
Barley,Kansas,2023,heat,max_consecutive_heat_days_30,30.0,21.5,0.7415672318159844,0.6157389163415258
Barley,Kansas,2023,heat,max_consecutive_heat_days_35,11.0,8.0,0.5886422266917454,0.6157389163415258
Barley,Kansas,2023,heat,heatwave_events_3d_30,10.0,9.0,0.44722067183239506,0.6157389163415258
Barley,Kansas,2023,heat,heatwave_events_3d_35,5.0,4.0,0.4809350186543473,0.6157389163415258
Barley,Kansas,2023,heat,heat_degree_days_30,488.8,360.59,0.8759277590986171,0.6157389163415258
Barley,Kansas,2023,heat,heat_degree_days_35,143.39,69.38,1.1077884667222524,0.6157389163415258
Barley,Washington,2023,heat,season_tmax_mean,20.108,19.161,0.9520951364906063,0.5478303807890774
Barley,Washington,2023,heat,season_tmean_mean,13.76,12.7655,1.157444863813137,0.5478303807890774
Barley,Washington,2023,heat,growing_degree_days_base5,1690.09,1476.4125,1.526468231049967,0.5478303807890774
Barley,Washington,2023,heat,heat_days_30,10.0,8.0,0.3212090456383792,0.5478303807890774
Barley,Washington,2023,heat,heat_days_35,1.0,0.0,1.1675804794590412,0.5478303807890774
Barley,Washington,2023,heat,max_consecutive_heat_days_30,5.0,3.0,0.9657658411728938,0.5478303807890774
Barley,Washington,2023,heat,max_consecutive_heat_days_35,1.0,0.0,1.3915008120026093,0.5478303807890774
Barley,Washington,2023,heat,heat_degree_days_30,20.54,12.035,0.5808314656272492,0.5478303807890774
Barley,Washington,2023,heat,heat_degree_days_35,0.07,0.0,0.052695341499067044,0.5478303807890774
Canola,Kansas,2023,heat,season_tmax_mean,30.22,28.6005,1.1481735133567958,0.5001370219438499
Canola,Kansas,2023,heat,season_tmean_mean,23.116,22.094,0.9745921083730865,0.5001370219438499
Canola,Kansas,2023,heat,growing_degree_days_base5,3315.53,3134.24,0.9572405024326808,0.5001370219438499
Canola,Kansas,2023,heat,heat_days_30,103.0,84.0,1.0880974424646892,0.5001370219438499
Canola,Kansas,2023,heat,heat_days_35,40.0,30.5,0.6224893526049723,0.5001370219438499
Canola,Kansas,2023,heat,heat_days_40,15.0,2.0,1.8878740264017089,0.5001370219438499
Canola,Kansas,2023,heat,max_consecutive_heat_days_30,30.0,21.5,0.7415672318159844,0.5001370219438499
Canola,Kansas,2023,heat,max_consecutive_heat_days_35,11.0,8.0,0.5886422266917454,0.5001370219438499
Canola,Kansas,2023,heat,heatwave_events_3d_30,10.0,9.0,0.44722067183239506,0.5001370219438499
Canola,Kansas,2023,heat,heatwave_events_3d_35,5.0,4.0,0.4809350186543473,0.5001370219438499
Canola,Kansas,2023,heat,heat_degree_days_30,488.8,360.59,0.8759277590986171,0.5001370219438499
Canola,Kansas,2023,heat,heat_degree_days_35,143.39,69.38,1.1077884667222524,0.5001370219438499
Canola,Oklahoma,2023,heat,season_tmax_mean,30.88,29.584,0.8463434735148898,0.11145312409891674
Canola,Oklahoma,2023,heat,season_tmean_mean,24.623,23.668,0.813901577517976,0.11145312409891674
Canola,Oklahoma,2023,heat,growing_degree_days_base5,3591.02,3416.455,0.8144164782894251,0.11145312409891674
Canola,Oklahoma,2023,heat,heat_days_30,109.0,94.0,0.8389310155940735,0.11145312409891674
Canola,Oklahoma,2023,heat,heat_days_35,50.0,32.0,0.8690337990133101,0.11145312409891674
Canola,Oklahoma,2023,heat,heat_days_40,15.0,1.0,1.1964419828338206,0.11145312409891674
Canola,Oklahoma,2023,heat,max_consecutive_heat_days_30,27.0,33.0,0.3049390182939022,0.11145312409891674
Canola,Oklahoma,2023,heat,max_consecutive_heat_days_35,14.0,12.0,0.1744195228423364,0.11145312409891674
Canola,Oklahoma,2023,heat,heatwave_events_3d_35,7.0,4.0,1.7029851668776765,0.11145312409891674
Canola,Oklahoma,2023,heat,heat_degree_days_30,562.66,396.87,0.8374145812859347,0.11145312409891674
Canola,Oklahoma,2023,heat,heat_degree_days_35,165.78,57.4,1.0250129508592944,0.11145312409891674
Oats,Montana,2023,heat,season_tmax_mean,20.879,20.729,0.13487901704835323,0.13968991451440887
Oats,Montana,2023,heat,season_tmean_mean,14.483,13.861,0.670256861672068,0.13968991451440887
Oats,Montana,2023,heat,growing_degree_days_base5,1841.17,1665.575,1.083356640700542,0.13968991451440887
Oats,Montana,2023,heat,heat_days_30,15.0,17.0,0.1942480556265589,0.13968991451440887
Oats,Montana,2023,heat,heat_days_35,1.0,0.0,0.4539020381873192,0.13968991451440887
Oats,Montana,2023,heat,max_consecutive_heat_days_30,5.0,4.0,0.3217589040505001,0.13968991451440887
Oats,Montana,2023,heat,max_consecutive_heat_days_35,1.0,0.0,1.0326547606781455,0.13968991451440887
Oats,Montana,2023,heat,heat_degree_days_30,25.56,29.76,0.14556662149283892,0.13968991451440887
Oats,Montana,2023,heat,heat_degree_days_35,0.18,0.0,0.06619743072121943,0.13968991451440887
Oats,South Dakota,2023,heat,season_tmax_mean,26.542,25.775,0.5935966986379396,0.18055108148932247
Oats,South Dakota,2023,heat,season_tmean_mean,19.744,18.882,0.8077981813361574,0.18055108148932247
Oats,South Dakota,2023,heat,growing_degree_days_base5,2731.18,2570.14,0.8605145937151899,0.18055108148932247
Oats,South Dakota,2023,heat,heat_days_30,69.0,59.0,0.6350723085466937,0.18055108148932247
Oats,South Dakota,2023,heat,heat_days_35,18.0,15.0,0.3130701700986937,0.18055108148932247
Oats,South Dakota,2023,heat,heat_days_40,4.0,1.0,1.2967245898500221,0.18055108148932247
Oats,South Dakota,2023,heat,max_consecutive_heat_days_30,15.0,13.0,0.2612563601093694,0.18055108148932247
Oats,South Dakota,2023,heat,max_consecutive_heat_days_35,6.0,4.0,0.7916147450764718,0.18055108148932247
Oats,South Dakota,2023,heat,heatwave_events_3d_30,8.0,7.0,0.42454337510038315,0.18055108148932247
Oats,South Dakota,2023,heat,heatwave_events_3d_35,3.0,2.0,0.6014380375049845,0.18055108148932247
Oats,South Dakota,2023,heat,heat_degree_days_30,246.95,210.92,0.37274303303911094,0.18055108148932247
Oats,South Dakota,2023,heat,heat_degree_days_35,62.24,36.52,0.8166402294428813,0.18055108148932247
Wheat,Kansas,2023,drought,rain_sum,424.56,558.63,1.0493578181200027,0.4750913551717342
Wheat,Kansas,2023,drought,rain_mean,1.401,1.8439999999999999,1.0503093799789096,0.4750913551717342
Wheat,Kansas,2023,drought,dry_days_1mm,241.0,233.0,0.6502537020591724,0.4750913551717342
Wheat,Kansas,2023,drought,dry_days_2mm,257.0,249.5,0.7703079260449235,0.4750913551717342
Wheat,Kansas,2023,drought,max_dry_spell_1mm,20.0,33.0,1.1207610495635234,0.4750913551717342
Wheat,Kansas,2023,drought,dry_spell_events_7d,14.0,12.0,0.9484292885056732,0.4750913551717342
Wheat,Kansas,2023,drought,dry_spell_events_14d,5.0,4.0,0.8180128247238176,0.4750913551717342
Wheat,Kansas,2023,drought,hot_dry_days_30_1mm,32.0,28.5,0.3300145960120545,0.4750913551717342
Wheat,Washington,2023,drought,rain_sum,605.9,771.81,1.2291570777160312,0.5756786569178556
Wheat,Washington,2023,drought,rain_mean,2.0,2.5389999999999997,1.2116496283411515,0.5756786569178556
Wheat,Washington,2023,drought,dry_days_1mm,188.0,156.5,1.5944367807373991,0.5756786569178556
Wheat,Washington,2023,drought,dry_days_2mm,220.0,198.0,1.4390955739168347,0.5756786569178556
Wheat,Washington,2023,drought,max_dry_spell_1mm,33.0,17.0,2.4476692373345217,0.5756786569178556
Wheat,Washington,2023,drought,dry_spell_events_14d,3.0,2.0,0.8830079106650346,0.5756786569178556
Wheat,Washington,2023,drought,hot_dry_days_30_1mm,2.0,0.0,0.9834555411312158,0.5756786569178556
Oats,Montana,2024,heat,season_tmax_mean,21.231,20.729,0.4513951103884846,0.2622376286142533
Oats,Montana,2024,heat,season_tmean_mean,14.566,13.861,0.7596962821202703,0.2622376286142533
Oats,Montana,2024,heat,growing_degree_days_base5,1813.015,1665.575,0.9096506341575098,0.2622376286142533
Oats,Montana,2024,heat,heat_days_30,29.0,17.0,1.1654883337593533,0.2622376286142533
Oats,Montana,2024,heat,heat_days_35,2.0,0.0,0.9078040763746384,0.2622376286142533
Oats,Montana,2024,heat,max_consecutive_heat_days_30,13.0,4.0,2.8958301364545007,0.2622376286142533
Oats,Montana,2024,heat,max_consecutive_heat_days_35,2.0,0.0,2.065309521356291,0.2622376286142533
Oats,Montana,2024,heat,heatwave_events_3d_30,4.0,2.0,1.1170888152253808,0.2622376286142533
Oats,Montana,2024,heat,heat_degree_days_30,59.9,29.76,1.0446138028081335,0.2622376286142533
Oats,Montana,2024,heat,heat_degree_days_35,2.09,0.0,0.768625723374159,0.2622376286142533
Barley,Colorado,2025,heat,season_tmax_mean,20.877,19.62,1.1780033671872645,0.425448894116829
Barley,Colorado,2025,heat,season_tmean_mean,12.649,11.575,1.2852343049921258,0.425448894116829
Barley,Colorado,2025,heat,growing_degree_days_base5,1488.63,1338.685,1.2248130629370029,0.425448894116829
Barley,Colorado,2025,heat,heat_days_30,2.0,1.0,0.5206877620688816,0.425448894116829
Barley,Colorado,2025,heat,heat_degree_days_30,0.63,0.05,0.48930857266657385,0.425448894116829
Barley,Washington,2025,drought,rain_sum,148.34,203.83,1.0031310168884222,0.5098114037867345
Barley,Washington,2025,drought,rain_mean,0.811,1.114,1.00235134375789,0.5098114037867345
Barley,Washington,2025,drought,dry_days_1mm,144.0,131.0,1.1112047488922492,0.5098114037867345
Barley,Washington,2025,drought,dry_days_2mm,162.0,152.0,1.1229487606474813,0.5098114037867345
Barley,Washington,2025,drought,max_dry_spell_1mm,21.0,26.0,0.38530158631292905,0.5098114037867345
Barley,Washington,2025,drought,dry_spell_events_7d,11.0,6.0,2.6391782544153277,0.5098114037867345
Barley,Washington,2025,drought,hot_dry_days_30_1mm,11.0,8.0,0.47987464153075005,0.5098114037867345
