stage,crop,n_test,anomaly_rate,top_10_precision,top_20_precision,average_probability
early_third,Barley,49,0.30612244897959184,0.4,0.3,0.31237309375382855
early_third,Canola,42,0.21428571428571427,0.2,0.2222222222222222,0.28408281788019124
early_third,Oats,68,0.22058823529411764,0.2857142857142857,0.21428571428571427,0.27868661181009113
early_third,Wheat,77,0.19480519480519481,0.125,0.125,0.36112519196811826
early_mid_two_thirds,Barley,49,0.30612244897959184,0.6,0.5,0.24354984075684172
early_mid_two_thirds,Canola,42,0.21428571428571427,0.4,0.4444444444444444,0.2603075299560432
early_mid_two_thirds,Oats,68,0.22058823529411764,0.2857142857142857,0.21428571428571427,0.24825988844340136
early_mid_two_thirds,Wheat,77,0.19480519480519481,0.125,0.25,0.333032079604011
