method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
00_baseline_v1_raw_yield_scaa,Oats,Iowa,1993,drought,dry_spell_events_14d,1.4347,2.2300232990132898,0.7953232990132897,0.1186207142857143,0.14914779239194925,"In Iowa Oats 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.119 t/ha (14.9%) of the 0.795 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Kansas,1993,excess_rain,max_1day_rain,1.2195,1.734650960960959,0.515150960960959,0.06395595238095207,0.12414992347417751,"In Kansas Oats 1993, excess rainfall or wetness was the dominant modelled driver; moving max_1day_rain toward feasible normal levels recovered 0.064 t/ha (12.4%) of the 0.515 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Nebraska,1993,frost_cold,frost_events_2d,1.5423,2.06665645216645,0.5243564521664501,0.20386957142857431,0.38879958582803625,"In Nebraska Oats 1993, frost/cold stress was the dominant modelled driver; moving frost_events_2d toward feasible normal levels recovered 0.204 t/ha (38.9%) of the 0.524 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Iowa,1993,drought,dry_spell_events_14d,1.6813,2.680891674876861,0.999591674876861,0.07888476190476099,0.0789169856926617,"In Iowa Wheat 1993, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.079 t/ha (7.9%) of the 1.000 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Texas,1994,drought,dry_spell_events_7d,1.7754,2.1288496969697093,0.3534496969697092,0.12247199999999878,0.3465047531516053,"In Texas Barley 1994, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_7d toward feasible normal levels recovered 0.122 t/ha (34.7%) of the 0.353 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Washington,1994,heat,max_consecutive_heat_days_30,2.5286,3.273169227799228,0.7445692277992282,0.44838757142857366,0.6022107208941498,"In Washington Barley 1994, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.448 t/ha (60.2%) of the 0.745 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Washington,1994,heat,season_tmax_mean,2.0803,2.5619428571428564,0.4816428571428566,0.12744504761905118,0.26460487419052625,"In Washington Oats 1994, heat exposure was the dominant modelled driver; moving season_tmax_mean toward feasible normal levels recovered 0.127 t/ha (26.5%) of the 0.482 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Minnesota,1994,frost_cold,frost_events_2d,1.883,2.5777693050193022,0.6947693050193022,0.5525610476190486,0.7953158604260693,"In Minnesota Wheat 1994, frost/cold stress was the dominant modelled driver; moving frost_events_2d toward feasible normal levels recovered 0.553 t/ha (79.5%) of the 0.695 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Texas,1994,excess_rain,max_1day_rain,1.7485,2.004965555555554,0.25646555555555395,0.12032795238095395,0.469177828267427,"In Texas Wheat 1994, excess rainfall or wetness was the dominant modelled driver; moving max_1day_rain toward feasible normal levels recovered 0.120 t/ha (46.9%) of the 0.256 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Minnesota,1995,drought,dry_spell_events_14d,1.7216,2.0585443157443137,0.3369443157443137,0.26517823809523877,0.7870090863811046,"In Minnesota Oats 1995, drought/dry-spell stress was the dominant modelled driver; moving dry_spell_events_14d toward feasible normal levels recovered 0.265 t/ha (78.7%) of the 0.337 t/ha detrended yield shortfall."
