crop,region,year,dominant_feature,driver_group,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,weather_driven
Barley,Montana,2000,heat_days_30,heat,2.152,2.627072136422136,0.47507213642213575,0.2747933333333328,0.5784244376082691,True
Barley,Nebraska,2000,heat_days_30,heat,1.4526,2.389104285714275,0.9365042857142751,0.37793957142857115,0.40356416643658527,False
Oats,Nebraska,2000,season_tmax_mean,heat,1.5064,2.106429965679963,0.600029965679963,0.2787674761904759,0.46458925742912255,False
Barley,Montana,2001,heat_days_30,heat,2.2058,2.637056962676961,0.4312569626769611,0.2824231428571426,0.6548836709882768,True
Barley,Washington,2001,frost_events_2d,frost_cold,2.69,3.330364813384813,0.6403648133848132,0.28258419047619165,0.4412862552246119,False
Canola,Montana,2001,heat_days_30,heat,1.02,1.3948650183150235,0.3748650183150235,0.27524323809523693,0.7342462610473087,True
Oats,Washington,2001,max_1day_rain,excess_rain,1.9727,2.4758611330049263,0.5031611330049264,0.06803176190476186,0.1352086984510701,False
Wheat,Montana,2001,rain_sum,drought,1.54,2.152728283998286,0.6127282839982859,0.1494388095238095,0.24389082963277658,False
Barley,Minnesota,2002,max_consecutive_heat_days_30,heat,2.2058,3.161413401973398,0.9556134019733982,0.2632325238095241,0.27545922154914676,False
Barley,Montana,2002,heat_days_30,heat,2.2596,2.647041788931787,0.3874417889317874,0.2308298571428584,0.5957794531645064,True
Barley,Nebraska,2002,heat_days_30,heat,1.7216,2.425227142857139,0.703627142857139,0.2351311904761897,0.3341701537001815,False
Barley,North Dakota,2002,heatwave_events_3d_30,heat,2.421,3.003649652509651,0.5826496525096512,0.11799157142857017,0.20250861031212186,False
Barley,South Dakota,2002,heavy_rain_days_20,excess_rain,1.883,2.4424528505002376,0.5594528505002376,0.12076895238095209,0.21586975966422534,False
Canola,Minnesota,2002,max_consecutive_heat_days_30,heat,0.9976,1.486950837438414,0.4893508374384139,0.16370152380952335,0.33452793228360544,False
Canola,Montana,2002,heat_degree_days_30,heat,1.0088,1.3980328449328503,0.3892328449328504,0.17259785714285722,0.44343086507160884,False
Canola,North Dakota,2002,heatwave_events_3d_30,heat,1.3562,1.6189015126050492,0.26270151260504915,0.04158238095237965,0.15828755814929568,False
Oats,Colorado,2002,dry_days_2mm,drought,1.7934,2.252713694581292,0.4593136945812919,0.19201657142857131,0.4180510481047439,False
Oats,Nebraska,2002,season_tmax_mean,heat,1.5423,2.1177938266838243,0.5754938266838243,0.22132852380952395,0.38458887575717055,False
Oats,North Dakota,2002,heat_days_30,heat,1.5064,2.095646516516503,0.5892465165165028,0.09259995238095549,0.1571497663293561,False
Oats,South Dakota,2002,frost_events_2d,frost_cold,1.614,2.300597661947656,0.6865976619476559,0.1911400952380944,0.2783873377836616,False
Wheat,Colorado,2002,rain_sum,drought,1.5333,2.288568871728872,0.7552688717288718,0.34216090476190164,0.4530319169366368,False
Wheat,Illinois,2002,dry_spell_events_14d,drought,3.2953,3.78409753753752,0.48879753753751976,0.20691942857142995,0.42332338582116313,False
Wheat,Minnesota,2002,frost_events_2d,frost_cold,2.2865,3.0337430501930527,0.7472430501930525,0.3649354761904786,0.48837587194179516,False
Wheat,Montana,2002,heatwave_events_3d_30,heat,1.5535,2.163399146289148,0.6098991462891479,0.08503595238095271,0.13942625251788418,False
Wheat,Nebraska,2002,radiation_mean,radiation,2.2193,2.659434118404114,0.4401341184041141,0.4143665469755437,0.9414551829746777,True
Wheat,North Dakota,2002,heavy_rain_days_20,excess_rain,1.836,2.3639458773058664,0.5279458773058663,0.09760628571428494,0.1848793406861601,False
Wheat,South Dakota,2002,heatwave_events_3d_30,heat,1.7754,2.548265478335466,0.772865478335466,0.1436271904761894,0.18583724399946264,False
Barley,Montana,2003,heat_days_30,heat,2.152,2.657026615186613,0.5050266151866127,0.29123123809523577,0.5766651288024152,True
Barley,Washington,2003,max_consecutive_heat_days_30,heat,2.5286,3.3467064092664085,0.8181064092664085,0.26396171428571463,0.32264961048576507,False
Canola,Montana,2003,max_consecutive_heat_days_35,heat,1.0536,1.4012006715506766,0.34760067155067653,0.26993490476190574,0.7765661198458071,True
Oats,Washington,2003,dry_days_2mm,drought,1.7934,2.4512663546798024,0.6578663546798023,0.24491004761904886,0.37227933284147335,False
Barley,Kansas,2004,heatwave_events_3d_30,heat,1.5064,2.216517285984761,0.7101172859847609,0.2837800952380966,0.39962426044109356,False
Oats,Colorado,2004,wet_days_1mm,excess_rain,1.9727,2.278193103448288,0.3054931034482882,0.08186890476190588,0.2679893714057741,False
Wheat,Colorado,2004,rain_mean,drought,1.8427,2.306714534534533,0.464014534534533,0.10537180952380916,0.2270873036973094,False
Barley,Minnesota,2005,heat_days_30,heat,2.3134,3.22628942513942,0.91288942513942,0.3279928095238093,0.3592908412469747,False
Canola,Minnesota,2005,heatwave_events_3d_30,heat,0.9191,1.612920098522153,0.693820098522153,0.2335079999999996,0.33655410170067873,False
Wheat,Colorado,2005,rain_sum,drought,1.6409,2.315787365937366,0.674887365937366,0.2628963333333345,0.38954105025835234,False
Barley,Kansas,2006,heatwave_events_3d_30,heat,1.4526,2.2455274300742367,0.7929274300742368,0.36155738095238155,0.4559778956297819,False
Barley,North Dakota,2006,hot_dry_days_30_1mm,drought,2.6362,3.140758996138999,0.5045589961389987,0.12292661904762077,0.24363180517696342,False
Oats,Nebraska,2006,growing_degree_days_base5,heat,1.614,2.140521548691547,0.5265215486915469,0.19452257142857143,0.36944845260745246,False
Oats,North Dakota,2006,frost_events_2d,frost_cold,1.4706,2.19897228228227,0.72837228228227,0.19738761904762245,0.27099825714005926,False
Oats,Oklahoma,2006,growing_degree_days_base5,heat,1.076,1.4158574942704352,0.3398574942704351,0.16602376190476173,0.4885099334389004,False
Oats,South Dakota,2006,max_consecutive_heat_days_35,heat,2.0444,2.425140776490764,0.380740776490764,0.0978141428571435,0.2569048257942928,False
Oats,Texas,2006,wet_days_1mm,excess_rain,1.3271,1.6211435735735709,0.2940435735735709,0.0885064285714283,0.3009976633591811,False
Wheat,Colorado,2006,dry_days_1mm,drought,1.4526,2.324860197340195,0.8722601973401951,0.2877829047619011,0.3299278192899833,False
Wheat,Kansas,2006,radiation_mean,radiation,2.152,2.6669951222651207,0.5149951222651206,0.3722306190476154,0.7227847467960877,True
Wheat,North Dakota,2006,heat_days_30,heat,2.0377,2.5244801887601795,0.4867801887601795,0.09343704761904846,0.1919491585247768,False
Wheat,Oklahoma,2006,wet_days_1mm,excess_rain,1.614,2.07081233376233,0.45681233376232977,0.26714914285714214,0.584811580407403,True
Wheat,South Dakota,2006,heatwave_events_3d_30,heat,2.1924,2.6963431102531104,0.5039431102531102,0.07999819047619058,0.15874448692434892,False
Wheat,Texas,2006,dry_days_2mm,drought,1.614,2.074245555555553,0.4602455555555529,0.12356180952380978,0.26846931606902946,False
Canola,North Dakota,2007,hot_dry_days_30_1mm,drought,1.3786,1.7255859663865607,0.34698596638656065,0.24184157142857218,0.696977961233014,True
Oats,Colorado,2007,heavy_rain_days_10,excess_rain,1.9727,2.3164122167487804,0.3437122167487805,0.07395757142857205,0.21517294941723789,False
Oats,Illinois,2007,heatwave_events_3d_30,heat,2.2238,2.59559328614327,0.3717932861432698,0.06508880952380999,0.17506719983837513,False
Oats,Oklahoma,2007,heatwave_events_3d_30,heat,1.1119,1.4218895645530942,0.3099895645530941,0.12334980952380901,0.39791600630698654,False
Oats,Texas,2007,dry_days_1mm,drought,1.4347,1.6283626726726688,0.19366267267266868,0.08347361904761794,0.4310258548827641,False
Oats,Washington,2007,dry_days_1mm,drought,1.7934,2.402076798029558,0.608676798029558,0.36296314285714315,0.5963150624964635,True
Wheat,Illinois,2007,hot_dry_days_30_1mm,drought,3.6988,4.139612402402378,0.44081240240237785,0.1057981904761904,0.24000729085570688,False
Wheat,Kansas,2007,season_tmax_mean,heat,2.2193,2.6848428185328217,0.46554281853282165,0.1014257142857153,0.21786549002165437,False
Oats,North Dakota,2008,dry_spell_events_14d,drought,1.8292,2.250635165165157,0.4214351651651571,0.09563928571428539,0.22693712727272083,False
Oats,Illinois,2009,heatwave_events_3d_35,heat,2.3314,2.642631252681241,0.3112312526812411,0.057453476190475694,0.1846006006643516,False
Wheat,Illinois,2009,season_tmax_mean,heat,3.7661,4.281818348348338,0.5157183483483383,0.2627299999999986,0.5094447402180453,True
Wheat,Oklahoma,2009,rain_mean,drought,1.4795,2.1043432217932185,0.6248432217932185,0.24979952380952453,0.399779520841456,False
Wheat,Texas,2009,wet_days_1mm,excess_rain,1.6813,2.091565555555553,0.4102655555555528,0.13651657142857074,0.332751725266601,False
Oats,Illinois,2010,heatwave_events_3d_30,heat,2.3314,2.6661502359502194,0.33475023595021947,0.044096809523809434,0.13173048078259472,False
Oats,Iowa,2010,heatwave_events_3d_35,heat,2.2238,2.5357452166452106,0.31194521664521035,0.07709414285714232,0.24714000646089418,False
Oats,Oklahoma,2010,heat_degree_days_35,heat,1.1836,1.4399857754010696,0.25638577540106966,0.04834233333333369,0.18855310228389527,False
Wheat,Illinois,2010,season_tmax_mean,heat,3.8333,4.352921321321304,0.5196213213213041,0.28084938095237577,0.5404885623981441,True
Barley,Kansas,2011,dry_spell_events_14d,drought,1.5602,2.318052790297933,0.7578527902979331,0.3943680476190494,0.5203755302715352,True
Barley,Minnesota,2011,wet_days_1mm,excess_rain,2.7438,3.356041471471464,0.6122414714714641,0.12050209523809483,0.196821190417695,False
Barley,North Dakota,2011,wet_days_1mm,excess_rain,2.5286,3.31214567567568,0.78354567567568,0.3341437619047642,0.42645090423939847,False
Barley,South Dakota,2011,heat_days_30,heat,1.7754,2.4609163282927105,0.6855163282927104,0.35019780952380697,0.5108526158610698,True
Oats,Kansas,2011,growing_degree_days_base5,heat,1.363,1.866915285285284,0.503915285285284,0.18614580952380888,0.3693990139997942,False
Oats,Minnesota,2011,dry_spell_events_14d,drought,1.9368,2.349093813813809,0.41229381381380903,0.19691071428571605,0.4775980324910732,False
Oats,North Dakota,2011,dry_spell_events_14d,drought,1.8651,2.328129489489477,0.4630294894894771,0.09513423809523777,0.2054604301772011,False
Oats,South Dakota,2011,frost_events_2d,frost_cold,2.0086,2.5808196696696584,0.5722196696696584,0.08326009523809438,0.14550372811574322,False
Oats,Texas,2011,wet_days_1mm,excess_rain,1.2554,1.6572390690690657,0.40183906906906564,0.21135019047619227,0.5259572967004528,True
Wheat,Iowa,2011,max_consecutive_heat_days_30,heat,3.0263,3.602810000000005,0.5765100000000052,0.17001719047618644,0.2949076173460736,False
Wheat,North Dakota,2011,heat_days_30,heat,2.0377,2.725148078078064,0.6874480780780639,0.12843038095238146,0.18682193615471485,False
Wheat,Oklahoma,2011,growing_degree_days_base5,heat,1.5468,2.1266971471471443,0.5798971471471444,0.24132823809523796,0.41615696728717105,False
Wheat,Texas,2011,wet_days_1mm,excess_rain,1.6813,2.1031122222222205,0.4218122222222205,0.22000738095237837,0.5215765911033118,True
Barley,South Dakota,2012,growing_degree_days_base5,heat,1.883,2.462967825825208,0.5799678258252081,0.1193150952380937,0.2057270936854575,False
Canola,North Dakota,2012,heat_days_30,heat,1.5468,1.832270420168072,0.285470420168072,0.210570428571428,0.737626085558895,True
Oats,Kansas,2012,heat_days_30,heat,1.1836,1.8742633033033016,0.6906633033033016,0.26207952380952326,0.3794606178669844,False
Oats,Kansas,2013,growing_degree_days_base5,heat,1.5064,1.8816113213213197,0.37521132132131974,0.21837504761904603,0.5820054865349763,True
Oats,Minnesota,2013,dry_spell_events_14d,drought,2.0444,2.3854125010725014,0.34101250107250136,0.17081995238095035,0.5009199130346045,True
Wheat,Colorado,2013,wet_days_1mm,excess_rain,1.7015,2.388370017160016,0.6868700171600162,0.15339033333333305,0.2233178469014445,False
Wheat,Nebraska,2013,radiation_mean,radiation,2.3538,2.9261158815958765,0.5723158815958764,0.13956690476190436,0.24386341398167824,False
Barley,Minnesota,2014,cold_days_5,frost_cold,2.7976,3.420917494637486,0.6233174946374858,0.2693648571428575,0.43214711517044296,False
Canola,Oklahoma,2014,heat_days_30,heat,0.6389,1.3567985294117615,0.7178985294117615,0.12355095238095311,0.17210085732058744,False
Canola,Washington,2014,heat_days_30,heat,1.345,1.879163809523816,0.5341638095238159,0.2566397619047627,0.4804514220713417,False
Oats,Iowa,2014,wet_days_1mm,excess_rain,2.2955,2.6076797854997764,0.3121797854997763,0.0350476666666659,0.11226757238799824,False
Oats,Texas,2014,season_tmin_mean,frost_cold,1.363,1.678896366366363,0.315896366366363,0.05070723809523933,0.1605185861379338,False
Wheat,Kansas,2014,rain_mean,drought,1.883,2.809776692406693,0.9267766924066931,0.20543023809523925,0.2216609888642854,False
Wheat,Oklahoma,2014,rain_sum,drought,1.1433,2.160228035178033,1.016928035178033,0.22146799999999822,0.2177813889861203,False
Wheat,Washington,2014,dry_spell_events_14d,drought,3.2415,4.097915722865716,0.8564157228657163,0.7161651904761911,0.8362354535946368,True
Barley,South Dakota,2015,max_1day_rain,excess_rain,1.9906,2.4691223184227,0.4785223184226999,0.2509396666666652,0.5244053558333701,True
Barley,Washington,2015,heat_days_30,heat,2.5824,3.4447559845559805,0.8623559845559807,0.4140603333333299,0.4801501244831342,False
Canola,Washington,2015,max_consecutive_heat_days_30,heat,1.2329,1.8790045238095288,0.6461045238095287,0.22912966666666712,0.35463250638717775,False
Wheat,Nebraska,2015,radiation_mean,radiation,2.5555,2.974603474903468,0.41910347490346833,0.32883561904762043,0.7846167801957757,True
Wheat,Oklahoma,2015,radiation_mean,radiation,1.7485,2.171404997854996,0.4229049978549959,0.27188723809523907,0.6429038187637185,True
Wheat,Washington,2015,dry_spell_events_14d,drought,3.3827,4.106839081939073,0.7241390819390734,0.4318622857142849,0.5963803038469623,True
Canola,Montana,2017,heat_days_30,heat,0.9639,1.4455502442002448,0.4816502442002448,0.41254704761904815,0.8565282642056189,True
Oats,Nebraska,2017,heat_days_35,heat,1.7575,2.2030227842127825,0.44552278421278246,0.12758209523809635,0.2863649172590081,False
Oats,North Dakota,2017,wet_days_1mm,excess_rain,2.0803,2.483118138138124,0.4028181381381244,0.13055819047619055,0.32411199525335865,False
Oats,Washington,2017,dry_days_1mm,drought,1.5064,2.279102906403942,0.7727029064039421,0.23363466666667088,0.3023602793911776,False
Wheat,Montana,2017,hot_dry_days_30_1mm,drought,1.836,2.3234620806520816,0.4874620806520815,0.34933757142857486,0.7166456331562518,True
Wheat,North Dakota,2017,rain_sum,drought,2.5488,2.9659495452595337,0.41714954525953374,0.14369961904761827,0.3444798650282937,False
Wheat,South Dakota,2017,heatwave_events_3d_30,heat,2.3403,3.103556598026586,0.7632565980265857,0.08661899999999885,0.11348608085924694,False
Barley,Kansas,2018,heatwave_events_3d_30,heat,1.6678,2.4195882946111062,0.7517882946111063,0.3707713333333329,0.49318582903067115,False
Oats,Colorado,2018,dry_days_2mm,drought,1.7934,2.456548965517253,0.6631489655172529,0.3319499047619039,0.5005661201672608,True
Oats,Iowa,2018,heavy_rain_days_25,excess_rain,2.2596,2.6796143543543423,0.4200143543543424,0.07643304761904887,0.18197722727011045,False
Oats,Minnesota,2018,dry_spell_events_14d,drought,2.1162,2.476209219219214,0.36000921921921414,0.16220590476190375,0.4505604192961918,False
Oats,Washington,2018,max_dry_spell_1mm,drought,1.6499,2.26680551724138,0.6169055172413802,0.32597314285714507,0.5284004336916955,True
Wheat,Illinois,2018,frost_days_0,frost_cold,4.4386,4.921745105105089,0.48314510510508857,0.19023271428571228,0.39373826263713235,False
Barley,Kansas,2019,dry_spell_events_7d,drought,1.7754,2.434093366655844,0.6586933666558441,0.29735242857142774,0.4514276955316437,False
Oats,Illinois,2019,heatwave_events_3d_30,heat,2.3314,2.8778210853710675,0.5464210853710676,0.14273247619047644,0.2612133389646716,False
Oats,Iowa,2019,dry_spell_events_7d,drought,2.0803,2.697597996567985,0.6172979965679852,0.06128009523809559,0.09927149541841514,False
Wheat,Illinois,2019,season_tmax_mean,heat,4.5058,4.992848078078055,0.48704807807805484,0.22707238095238133,0.46622169591230883,False
Barley,Minnesota,2020,season_tmean_mean,heat,2.5286,3.5506695409695297,1.0220695409695297,0.16736209523809586,0.16374824660104542,False
Canola,Minnesota,2020,radiation_mean,radiation,1.7597,2.242766403940877,0.48306640394087674,0.19897099999999956,0.4118916123679591,False
Oats,Illinois,2020,heat_days_30,heat,2.0803,2.901340068640053,0.8210400686400532,0.09067557142857118,0.11043988581308041,False
Wheat,Colorado,2020,heavy_rain_days_10,excess_rain,1.8158,2.4518798369798365,0.6360798369798364,0.204090333333333,0.32085647346152657,False
Wheat,Illinois,2020,season_tmax_mean,heat,4.5731,5.063951051051021,0.49085105105102045,0.1934542857142807,0.39412014153795205,False
Wheat,Minnesota,2020,radiation_mean,radiation,3.5643,4.0596839768339805,0.4953839768339807,0.12601666666666442,0.25438179787735987,False
Barley,Colorado,2021,max_1day_rain,excess_rain,5.9719,7.313027138567122,1.3411271385671224,0.23218542857142485,0.1731270823581236,False
Barley,Minnesota,2021,season_tmean_mean,heat,2.959,3.572294882024877,0.6132948820248769,0.19536261904761784,0.31854597971305654,False
Barley,Montana,2021,hot_dry_days_30_1mm,drought,2.0444,2.836753487773485,0.792353487773485,0.21397395238095157,0.2700486029060323,False
Barley,North Dakota,2021,hot_dry_days_30_1mm,drought,2.7438,3.654919034749028,0.9111190347490283,0.2730955238095243,0.299736382836903,False
Barley,South Dakota,2021,heatwave_events_3d_30,heat,1.076,2.481431303617681,1.4054313036176809,0.3189680476190504,0.22695385167386253,False
Barley,Washington,2021,season_tmin_mean,frost_cold,2.0444,3.4937807722007665,1.4493807722007666,0.12871066666666747,0.08880390104198141,False
Canola,Minnesota,2021,hot_dry_days_30_1mm,drought,1.9054,2.2847561576354565,0.3793561576354565,0.23588609523809725,0.6218064225143611,True
Canola,Montana,2021,heatwave_events_3d_30,heat,1.0088,1.4582215506715492,0.4494215506715493,0.33047733333333507,0.7353393108085682,True
Canola,North Dakota,2021,hot_dry_days_30_1mm,drought,1.5019,2.024302436974793,0.5224024369747928,0.20787942857142847,0.3979296685047033,False
Canola,Washington,2021,hot_dry_days_30_1mm,drought,1.2329,1.8780488095238044,0.6451488095238043,0.13935438095238178,0.21600346911473295,False
Oats,Minnesota,2021,dry_spell_events_14d,drought,2.0444,2.530687250107249,0.48628725010724905,0.1585019523809503,0.32594305597359013,False
Oats,Montana,2021,season_tmean_mean,heat,1.2554,1.6294996181896195,0.37409961818961945,0.3557973324753383,0.9510764384020186,True
Oats,North Dakota,2021,wet_days_1mm,excess_rain,1.7216,2.586443903903892,0.8648439039038918,0.23337047619047557,0.2698411529954075,False
Oats,South Dakota,2021,heat_days_40,heat,2.4031,2.892177456027447,0.48907745602744734,0.05953238095238156,0.12172382966889515,False
Wheat,Minnesota,2021,dry_spell_events_14d,drought,3.228,4.116680694980701,0.8886806949807009,0.2911945238095255,0.3276705856830267,False
Wheat,Montana,2021,hot_dry_days_30_1mm,drought,1.493,2.3661455298155296,0.8731455298155295,0.2049186190476197,0.23469010840714388,False
Wheat,North Dakota,2021,hot_dry_days_30_1mm,drought,2.1655,3.126483856713847,0.9609838567138467,0.21441409523809393,0.22311935183937254,False
Wheat,South Dakota,2021,heat_days_30,heat,2.2865,3.25163422994423,0.9651342299442298,0.09562547619047594,0.09907997584543411,False
Wheat,Washington,2021,dry_spell_events_7d,drought,2.6295,4.160379236379226,1.530879236379226,0.05897890476190466,0.03852616415478937,False
Barley,Colorado,2022,season_tmean_mean,heat,5.9719,7.389565774345755,1.417665774345755,0.20174999999999607,0.14231139923872577,False
Barley,Kansas,2022,dry_spell_events_14d,drought,1.8292,2.4776085827900616,0.6484085827900616,0.38299423809523736,0.59066805754982,True
Barley,Montana,2022,hot_dry_days_30_1mm,drought,2.2058,2.846738314028311,0.6409383140283111,0.22859666666666856,0.3566593877497096,False
Canola,Kansas,2022,heat_days_30,heat,0.7734,1.3450090909090875,0.5716090909090875,0.2564672857142878,0.44867600916983674,False
Canola,Oklahoma,2022,dry_spell_events_14d,drought,0.7846,1.3464651960784333,0.5618651960784333,0.12497661904762,0.22243167919974519,False
Oats,Kansas,2022,max_7day_rain,excess_rain,1.4706,1.9477434834834817,0.4771434834834818,0.2312919999999985,0.4847430762574914,False
Oats,Minnesota,2022,frost_events_2d,frost_cold,2.1879,2.548846593736592,0.3609465937365921,0.12643995238095224,0.35030099902597855,False
Oats,Nebraska,2022,season_tmax_mean,heat,1.8292,2.231432436722436,0.4022324367224359,0.08331204761904763,0.2071241402058727,False
Oats,Oklahoma,2022,dry_spell_events_14d,drought,0.7173,1.512370618792973,0.795070618792973,0.348118476190476,0.4378459824348281,False
Wheat,Colorado,2022,wet_days_1mm,excess_rain,1.6813,2.470025499785498,0.788725499785498,0.10247476190476253,0.12992449455815944,False
Wheat,Kansas,2022,radiation_mean,radiation,2.4883,2.9525582625482656,0.4642582625482654,0.36883052380952325,0.7944511784993352,True
Wheat,Montana,2022,heatwave_events_3d_30,heat,1.9032,2.376816392106392,0.47361639210639206,0.23806185714285874,0.502646996832367,True
Wheat,Nebraska,2022,radiation_mean,radiation,2.152,3.144310051480048,0.992310051480048,0.4236549523809505,0.42693808427019525,False
Barley,Kansas,2023,max_1day_rain,excess_rain,1.5602,2.492113654834803,0.931913654834803,0.3522890952380964,0.3780276138356889,False
