country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha,trend_yield_t_ha,trend_residual_t_ha,trend_residual_z,is_low_yield_anomaly
United States,Colorado,Oats,1990,spring,183.0,301.59,1.648,105.0,128.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,10.7,21.87,42.74,78.0,19.712,3.611,11.661,1301.845,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.32,0.0,5.0,54.0,94.0,-9.91,5.0,3943.75,21.551,96.29,0.0,51.0,1257.22,20.9,101.38,0.0,3.0,1505.29,21.87,103.92,0.0,0.0,1181.24,15.82,39.0,-105.5,1.7934,2.0998372413793227,-0.3064372413793226,-1.1464208408048637,True
United States,Illinois,Oats,1990,spring,183.0,674.29,3.685,107.0,127.0,11.0,4.0,0.0,23.0,7.0,5.0,1.0,57.0,70.28,104.74,76.0,24.072,12.749,18.41,2471.53,19.0,1.0,0.0,6.0,1.0,3.0,0.0,36.96,0.7,11.0,9.0,21.0,-5.97,2.0,3414.73,18.66,238.51,0.0,9.0,1068.93,59.23,306.23,0.0,0.0,1270.57,70.28,129.55,1.0,0.0,1075.23,28.29,40.0,-89.0,2.439,2.1957705705705592,0.2432294294294408,0.7839207949695389,False
United States,Iowa,Oats,1990,spring,183.0,792.38,4.33,100.0,114.0,12.0,3.0,0.0,29.0,10.0,4.0,1.0,60.15,100.09,148.74,83.0,23.176,11.966,17.571,2328.25,18.0,0.0,0.0,5.0,0.0,3.0,0.0,23.53,0.0,8.0,13.0,33.0,-6.14,4.0,3606.04,19.705,223.15,0.0,13.0,1161.63,47.39,442.52,0.0,0.0,1310.43,100.09,126.71,0.0,0.0,1133.98,28.75,42.0,-93.5,2.439,2.176072372372367,0.2629276276276329,0.8837631463008179,False
United States,Kansas,Oats,1990,spring,183.0,512.12,2.798,120.0,133.0,24.0,7.0,2.0,19.0,7.0,2.0,0.0,30.19,41.42,79.54,63.0,28.901,15.425,22.163,3146.655,84.0,43.0,12.0,25.0,18.0,8.0,3.0,474.3,151.29,62.0,7.0,19.0,-5.28,3.0,3888.16,21.247,203.52,0.0,7.0,1107.63,38.7,148.65,23.0,0.0,1505.73,40.38,159.95,20.0,0.0,1274.8,41.42,38.5,-98.0,1.9727,1.712606906906906,0.2600930930930938,0.8781079857697867,False
United States,Minnesota,Oats,1990,spring,183.0,643.99,3.519,109.0,121.0,14.0,5.0,1.0,23.0,5.0,2.0,1.0,50.52,71.58,81.33,74.0,21.007,9.337,15.172,1936.295,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.75,0.0,2.0,23.0,45.0,-7.67,2.0,3402.76,18.594,151.73,0.0,23.0,1104.53,35.49,324.73,0.0,0.0,1276.95,71.58,167.53,0.0,0.0,1021.28,49.48,46.0,-94.0,2.3672,1.9677475975975938,0.3994524024024062,1.3095995647474221,False
United States,Montana,Oats,1990,spring,183.0,282.34,1.543,117.0,143.0,27.0,4.0,1.0,5.0,0.0,0.0,0.0,19.62,33.88,44.03,66.0,20.928,6.794,13.861,1688.17,16.0,1.0,0.0,4.0,1.0,1.0,0.0,31.08,0.49,12.0,28.0,70.0,-8.4,6.0,3937.42,21.516,139.06,0.0,28.0,1186.2,33.88,71.48,1.0,0.0,1520.08,14.86,71.8,0.0,0.0,1231.14,32.65,47.0,-110.0,1.4347,1.9463192192192196,-0.5116192192192195,-1.8612439517806318,True
United States,Nebraska,Oats,1990,spring,183.0,368.42,2.013,125.0,140.0,11.0,7.0,0.0,10.0,1.0,0.0,0.0,24.12,36.77,41.25,58.0,26.602,12.216,19.409,2657.86,69.0,25.0,4.0,24.0,7.0,9.0,3.0,284.31,60.22,55.0,11.0,32.0,-6.71,3.0,3892.46,21.27,141.79,0.0,11.0,1172.74,27.53,124.82,15.0,0.0,1503.6,26.2,101.81,10.0,0.0,1216.12,36.77,41.5,-99.8,1.7216,2.049610660660658,-0.3280106606606581,-0.9329243150574646,False
United States,North Dakota,Oats,1990,spring,183.0,364.99,1.994,128.0,143.0,23.0,6.0,2.0,12.0,0.0,0.0,0.0,19.93,34.2,55.61,55.0,23.109,9.138,16.124,2105.36,36.0,0.0,0.0,4.0,0.0,3.0,0.0,58.01,0.0,20.0,25.0,46.0,-7.52,3.0,3797.12,20.749,77.36,0.0,25.0,1205.88,25.63,215.28,0.0,0.0,1462.4,34.2,72.35,0.0,0.0,1128.84,17.16,47.5,-100.5,1.8292,1.7856692192192085,0.04353078078079142,0.11636340748778468,False
United States,Oklahoma,Oats,1990,spring,183.0,561.08,3.066,117.0,125.0,21.0,5.0,2.0,16.0,8.0,3.0,1.0,51.12,79.17,101.52,66.0,29.007,17.083,23.045,3302.255,94.0,32.0,0.0,34.0,14.0,7.0,3.0,364.83,55.92,69.0,2.0,9.0,-0.99,1.0,3925.29,21.45,287.21,0.0,2.0,1193.27,79.17,90.09,11.0,0.0,1479.36,32.43,183.78,21.0,0.0,1252.66,67.41,35.5,-97.5,1.363,1.3193443697478973,0.04365563025210273,0.189053197116432,False
United States,South Dakota,Oats,1990,spring,183.0,359.29,1.963,119.0,136.0,23.0,5.0,2.0,10.0,1.0,0.0,0.0,24.91,33.41,50.17,64.0,26.091,11.571,18.831,2563.455,66.0,17.0,2.0,17.0,3.0,9.0,2.0,247.43,36.52,44.0,22.0,28.0,-6.34,3.0,3879.8,21.201,125.61,0.0,22.0,1250.67,33.41,150.18,9.0,0.0,1455.81,32.7,83.5,8.0,0.0,1173.32,18.92,44.5,-100.0,2.0086,1.926968318318309,0.08163168168169088,0.2784073873613681,False
