stage,n_features,n_train,n_calibration,n_test,anomaly_rate_test,roc_auc,average_precision,brier_score,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,f1_at_0_5,conformal_abs_error_q90,label_coverage_by_probability_interval
early_third,5,914,107,236,0.2288135593220339,0.47262922262922263,0.2245096368706423,0.21602617945376795,0.6864406779661016,0.2222222222222222,0.14814814814814814,0.17777777777777778,0.7046293222322254,0.8601694915254238
early_mid_two_thirds,10,914,107,236,0.2288135593220339,0.5972730972730973,0.3007699100416967,0.18477744482617117,0.7330508474576272,0.32,0.14814814814814814,0.20253164556962025,0.630546872515706,0.8347457627118644
