crop,region,year,step,feature,from_value,to_value,standardized_delta,prediction_before_t_ha,prediction_after_t_ha,prediction_gain_t_ha
Wheat,Nebraska,1992,2,heatwave_events_3d_30,0.0,0.5,0.29633953055283446,-0.2556003233716771,-0.21901421129048973,0.036586112081187366
Wheat,Nebraska,1992,3,wet_days_1mm,68.0,73.0,0.4329676034489483,-0.21901421129048973,-0.1685243863803581,0.050489824910131625
Wheat,Nebraska,1992,4,max_3day_rain,40.7,41.735,0.05026630400486606,-0.1685243863803581,-0.1637867735643049,0.004737612816053199
Wheat,Washington,1992,1,wet_days_1mm,129.0,147.0,0.9098670680224379,-0.6014500421648208,-0.45018338893171284,0.15126665323310795
Wheat,Washington,1992,2,dry_spell_events_14d,4.0,2.0,1.7660158213300692,-0.45018338893171284,-0.2223398657728671,0.22784352315884573
Wheat,Washington,1992,3,radiation_sum,3692.06,3673.6800000000003,0.13766362490198486,-0.2223398657728671,-0.208190739824047,0.01414912594882009
Wheat,Washington,1992,4,heavy_rain_days_10,17.0,15.0,0.3642820635180215,-0.208190739824047,-0.18242976471170722,0.025760975112339796
Barley,Colorado,1993,1,max_1day_rain,12.43,10.7,0.2670974909842,-0.43538986919043393,-0.3943035516207884,0.041086317569645536
Barley,Colorado,1993,2,max_7day_rain,20.49,30.502000000000002,0.7715192233090539,-0.3943035516207884,-0.2893951125027469,0.10490843911804149
Barley,Colorado,1993,3,max_dry_spell_1mm,14.0,17.0,0.5742248728847692,-0.2893951125027469,-0.21655477457347413,0.07284033792927277
Barley,Colorado,1993,4,heavy_rain_days_10,1.0,3.0,1.1067024104210925,-0.21655477457347413,-0.0922814982119963,0.12427327636147784
Oats,Illinois,1993,1,max_consecutive_heat_days_30,2.0,5.0,0.32798445517780084,-0.4475895262494308,-0.4245366575823305,0.023052868667100324
Oats,Illinois,1993,2,heat_degree_days_30,6.9,2.14,0.06441405390012608,-0.4245366575823305,-0.42052202827934715,0.004014629302983352
Oats,Illinois,1993,3,heatwave_events_3d_30,0.0,4.0,1.5140051135308665,-0.42052202827934715,-0.33021015440321855,0.0903118738761286
Oats,Illinois,1993,4,max_7day_rain,79.74,53.7,1.0487291614725571,-0.33021015440321855,-0.27190228686388235,0.0583078675393362
Oats,Iowa,1993,1,heatwave_events_3d_30,0.0,0.5,0.16358692806754607,-0.6327522157871693,-0.6000873536539779,0.03266486213319142
Oats,Iowa,1993,2,hot_dry_days_30_1mm,1.0,3.5,0.15375647067520243,-0.6000873536539779,-0.5800494197940799,0.02003793385989805
Oats,Iowa,1993,3,heat_degree_days_30,0.93,18.005,0.20567787755931702,-0.5800494197940799,-0.5664413618893963,0.013608057904683557
Oats,Iowa,1993,4,max_consecutive_heat_days_30,1.0,4.0,0.3958851873223702,-0.5664413618893963,-0.5416029790698792,0.024838382819517113
Oats,Kansas,1993,1,heat_degree_days_30,107.16,102.66,0.03074389607631055,-0.22416040285545757,-0.2215735000003488,0.0025869028551087636
Oats,Kansas,1993,2,heat_degree_days_35,1.63,14.19,0.18799923175289138,-0.2215735000003488,-0.20623522328348864,0.015338276716860166
Oats,Kansas,1993,3,min_tmin,-2.5,-2.565,0.022809591278458413,-0.20623522328348864,-0.20319951356820984,0.003035709715278806
Oats,Kansas,1993,4,heatwave_events_3d_35,1.0,0.0,0.4809350186543473,-0.20319951356820984,-0.17108813187166483,0.03211138169654501
Oats,Nebraska,1993,1,dry_spell_events_7d,2.0,4.0,0.9286336740110552,-0.4325120151072155,-0.3050147085211948,0.1274973065860207
Oats,Nebraska,1993,2,heat_degree_days_35,0.0,1.34,0.03994755720395592,-0.3050147085211948,-0.3012783198161632,0.003736388705031568
Oats,Nebraska,1993,3,frost_events_2d,4.0,3.0,0.7654655446197433,-0.3012783198161632,-0.23250461675288936,0.06877370306327385
Oats,Nebraska,1993,4,dry_days_1mm,98.0,99.0,0.08999039800744453,-0.23250461675288936,-0.22346953025577543,0.009035086497113931
Wheat,Iowa,1993,1,heavy_rain_days_10,32.0,28.2,0.575844844613437,-0.8192041426453154,-0.692924255544496,0.1262798871008194
Wheat,Iowa,1993,2,max_1day_rain,40.59,40.53,0.006259042474754641,-0.692924255544496,-0.6917246700499937,0.0011995854945022755
Wheat,Iowa,1993,3,dry_spell_events_14d,2.0,1.0,0.6227155001108605,-0.6917246700499937,-0.5727638516253046,0.11896081842468909
Wheat,Iowa,1993,4,max_3day_rain,60.09,51.03,0.5796750475899556,-0.5727638516253046,-0.5094095013185579,0.06335435030674674
Barley,Texas,1994,1,heat_days_40,11.0,11.5,0.0456781307612546,-0.28659162267798566,-0.27706843190936264,0.009523190768623013
Barley,Texas,1994,2,max_7day_rain,99.38,62.62,1.2183393785490766,-0.27706843190936264,-0.1370630543888955,0.14000537752046716
Barley,Texas,1994,3,heat_days_35,67.0,61.5,0.23739442006733927,-0.1370630543888955,-0.11357841605417536,0.02348463833472013
Barley,Texas,1994,4,max_1day_rain,23.24,23.83,0.04051916761519666,-0.11357841605417536,-0.10985572267187554,0.003722693382299816
Barley,Washington,1994,1,heat_degree_days_35,0.0,0.007000000000000598,0.005269534149907154,-0.6786945223836077,-0.673897672080243,0.004796850303364741
Barley,Washington,1994,2,wet_days_1mm,53.0,52.0,0.08547728837632687,-0.673897672080243,-0.6417787173489276,0.03211895473131543
Barley,Washington,1994,3,frost_events_2d,5.0,4.0,0.6777430984797153,-0.6417787173489276,-0.40964093143424624,0.23213778591468132
Barley,Washington,1994,4,max_consecutive_heat_days_30,5.0,3.0,0.9657658411728938,-0.40964093143424624,-0.13293163897134383,0.27670929246290243
Oats,Washington,1994,1,heat_degree_days_35,0.0,0.007000000000000598,0.005269534149907154,-0.5220836720656259,-0.5188474144535449,0.003236257612081017
Oats,Washington,1994,2,wet_days_1mm,53.0,52.0,0.08547728837632687,-0.5188474144535449,-0.48942121705806624,0.029426197395478637
Oats,Washington,1994,3,max_1day_rain,12.53,11.35,0.23365497285379322,-0.48942121705806624,-0.4195211788537821,0.06990003820428414
Oats,Washington,1994,4,max_consecutive_heat_days_30,5.0,3.0,0.9657658411728938,-0.4195211788537821,-0.165486086607812,0.2540350922459701
Wheat,Minnesota,1994,1,hot_dry_days_30_1mm,0.0,2.0,0.24470101049255838,-0.5195454663079173,-0.4164840957963701,0.10306137051154723
Wheat,Minnesota,1994,2,heat_degree_days_30,2.15,4.75,0.0892502896555752,-0.4164840957963701,-0.3781917856655495,0.03829231013082057
Wheat,Minnesota,1994,3,max_1day_rain,28.1,28.19,0.007266923478903193,-0.3781917856655495,-0.3761748103228602,0.002016975342689298
Wheat,Minnesota,1994,4,rain_mean,3.112,2.99,0.20238607403671166,-0.3761748103228602,-0.32349888683636396,0.052675923486496246
Wheat,Texas,1994,1,heatwave_events_3d_30,8.0,7.0,0.4329160796212647,-0.2244323562249733,-0.1496779031934076,0.07475445303156569
Wheat,Texas,1994,2,max_3day_rain,61.36,62.02,0.02067267940945526,-0.1496779031934076,-0.14677153225456524,0.0029063709388423564
Wheat,Texas,1994,3,max_7day_rain,99.38,94.105,0.14407564297549108,-0.14677153225456524,-0.13268260781076802,0.014088924443797224
Wheat,Texas,1994,4,dry_spell_events_7d,13.0,17.0,1.6994858484250859,-0.13268260781076802,0.0007489279595754193,0.13343153577034345
Oats,Minnesota,1995,1,rain_mean,3.234,2.99,0.4047721480734233,-0.35811328782289775,-0.28082197176389645,0.0772913160590013
