crop,region,year,window,dominant_feature,driver_group,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,n_changed_features,changed_features_json
Barley,Washington,1992,spring,rain_sum,drought,2.421,3.2568276319176324,0.8358276319176325,-0.7184904875655648,-0.394391080370661,0.32409940719490377,0.38775866556520167,4,"[{""feature"": ""max_consecutive_heat_days_30"", ""from"": 4.0, ""to"": 3.0, ""standardized_delta"": 0.4829, ""prediction_gain_t_ha"": 0.1253}, {""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.007, ""standardized_delta"": 0.0053, ""prediction_gain_t_ha"": 0.0013}, {""feature"": ""rain_sum"", ""from"": 280.72, ""to"": 323.1, ""standardized_delta"": 0.7661, ""prediction_gain_t_ha"": 0.1642}, {""feature"": ""max_7day_rain"", ""from"": 41.16, ""to"": 42.9, ""standardized_delta"": 0.1633, ""prediction_gain_t_ha"": 0.0333}]"
Wheat,Nebraska,1992,winter,dry_days_1mm,drought,2.0175,2.416996151866151,0.39949615186615084,-0.32945414932722744,-0.1637867735643049,0.16566737576292254,0.41469079236194634,4,"[{""feature"": ""dry_days_1mm"", ""from"": 236.0, ""to"": 230.75, ""standardized_delta"": 0.4526, ""prediction_gain_t_ha"": 0.0739}, {""feature"": ""heatwave_events_3d_30"", ""from"": 0.0, ""to"": 0.5, ""standardized_delta"": 0.2963, ""prediction_gain_t_ha"": 0.0366}, {""feature"": ""wet_days_1mm"", ""from"": 68.0, ""to"": 73.0, ""standardized_delta"": 0.433, ""prediction_gain_t_ha"": 0.0505}, {""feature"": ""max_3day_rain"", ""from"": 40.7, ""to"": 41.735, ""standardized_delta"": 0.0503, ""prediction_gain_t_ha"": 0.0047}]"
Wheat,Washington,1992,winter,dry_spell_events_14d,drought,3.3222,3.901601823251818,0.5794018232518181,-0.6014500421648208,-0.18242976471170722,0.41902027745311354,0.7231946131985161,4,"[{""feature"": ""wet_days_1mm"", ""from"": 129.0, ""to"": 147.0, ""standardized_delta"": 0.9099, ""prediction_gain_t_ha"": 0.1513}, {""feature"": ""dry_spell_events_14d"", ""from"": 4.0, ""to"": 2.0, ""standardized_delta"": 1.766, ""prediction_gain_t_ha"": 0.2278}, {""feature"": ""radiation_sum"", ""from"": 3692.06, ""to"": 3673.68, ""standardized_delta"": 0.1377, ""prediction_gain_t_ha"": 0.0141}, {""feature"": ""heavy_rain_days_10"", ""from"": 17.0, ""to"": 15.0, ""standardized_delta"": 0.3643, ""prediction_gain_t_ha"": 0.0258}]"
Barley,Colorado,1993,spring,heavy_rain_days_10,excess_rain,4.5731,5.169945336765323,0.5968453367653233,-0.43538986919043393,-0.0922814982119963,0.3431083709784376,0.574869819437571,4,"[{""feature"": ""max_1day_rain"", ""from"": 12.43, ""to"": 10.7, ""standardized_delta"": 0.2671, ""prediction_gain_t_ha"": 0.0411}, {""feature"": ""max_7day_rain"", ""from"": 20.49, ""to"": 30.502, ""standardized_delta"": 0.7715, ""prediction_gain_t_ha"": 0.1049}, {""feature"": ""max_dry_spell_1mm"", ""from"": 14.0, ""to"": 17.0, ""standardized_delta"": 0.5742, ""prediction_gain_t_ha"": 0.0728}, {""feature"": ""heavy_rain_days_10"", ""from"": 1.0, ""to"": 3.0, ""standardized_delta"": 1.1067, ""prediction_gain_t_ha"": 0.1243}]"
Oats,Illinois,1993,spring,heatwave_events_3d_30,heat,1.8292,2.2663275203775086,0.4371275203775087,-0.4475895262494308,-0.27190228686388235,0.17568723938554848,0.40191301438496213,4,"[{""feature"": ""max_consecutive_heat_days_30"", ""from"": 2.0, ""to"": 5.0, ""standardized_delta"": 0.328, ""prediction_gain_t_ha"": 0.0231}, {""feature"": ""heat_degree_days_30"", ""from"": 6.9, ""to"": 2.14, ""standardized_delta"": 0.0644, ""prediction_gain_t_ha"": 0.004}, {""feature"": ""heatwave_events_3d_30"", ""from"": 0.0, ""to"": 4.0, ""standardized_delta"": 1.514, ""prediction_gain_t_ha"": 0.0903}, {""feature"": ""max_7day_rain"", ""from"": 79.74, ""to"": 53.7, ""standardized_delta"": 1.0487, ""prediction_gain_t_ha"": 0.0583}]"
Oats,Iowa,1993,spring,max_consecutive_heat_days_30,heat,1.4347,2.2300232990132898,0.7953232990132897,-0.6327522157871693,-0.5416029790698792,0.09114923671729014,0.11460652143646939,4,"[{""feature"": ""heatwave_events_3d_30"", ""from"": 0.0, ""to"": 0.5, ""standardized_delta"": 0.1636, ""prediction_gain_t_ha"": 0.0327}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 1.0, ""to"": 3.5, ""standardized_delta"": 0.1538, ""prediction_gain_t_ha"": 0.02}, {""feature"": ""heat_degree_days_30"", ""from"": 0.93, ""to"": 18.005, ""standardized_delta"": 0.2057, ""prediction_gain_t_ha"": 0.0136}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 1.0, ""to"": 4.0, ""standardized_delta"": 0.3959, ""prediction_gain_t_ha"": 0.0248}]"
Oats,Kansas,1993,spring,heatwave_events_3d_35,heat,1.2195,1.734650960960959,0.515150960960959,-0.22416040285545757,-0.17108813187166483,0.053072270983792746,0.10302275450441187,4,"[{""feature"": ""heat_degree_days_30"", ""from"": 107.16, ""to"": 102.66, ""standardized_delta"": 0.0307, ""prediction_gain_t_ha"": 0.0026}, {""feature"": ""heat_degree_days_35"", ""from"": 1.63, ""to"": 14.19, ""standardized_delta"": 0.188, ""prediction_gain_t_ha"": 0.0153}, {""feature"": ""min_tmin"", ""from"": -2.5, ""to"": -2.565, ""standardized_delta"": 0.0228, ""prediction_gain_t_ha"": 0.003}, {""feature"": ""heatwave_events_3d_35"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.4809, ""prediction_gain_t_ha"": 0.0321}]"
Oats,Nebraska,1993,spring,dry_spell_events_7d,drought,1.5423,2.06665645216645,0.5243564521664501,-0.4325120151072155,-0.22346953025577543,0.20904248485144006,0.3986648471431076,4,"[{""feature"": ""dry_spell_events_7d"", ""from"": 2.0, ""to"": 4.0, ""standardized_delta"": 0.9286, ""prediction_gain_t_ha"": 0.1275}, {""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 1.34, ""standardized_delta"": 0.0399, ""prediction_gain_t_ha"": 0.0037}, {""feature"": ""frost_events_2d"", ""from"": 4.0, ""to"": 3.0, ""standardized_delta"": 0.7655, ""prediction_gain_t_ha"": 0.0688}, {""feature"": ""dry_days_1mm"", ""from"": 98.0, ""to"": 99.0, ""standardized_delta"": 0.09, ""prediction_gain_t_ha"": 0.009}]"
Wheat,Iowa,1993,winter,dry_spell_events_14d,drought,1.6813,2.680891674876861,0.999591674876861,-0.8192041426453154,-0.5094095013185579,0.3097946413267575,0.309921189934801,4,"[{""feature"": ""heavy_rain_days_10"", ""from"": 32.0, ""to"": 28.2, ""standardized_delta"": 0.5758, ""prediction_gain_t_ha"": 0.1263}, {""feature"": ""max_1day_rain"", ""from"": 40.59, ""to"": 40.53, ""standardized_delta"": 0.0063, ""prediction_gain_t_ha"": 0.0012}, {""feature"": ""dry_spell_events_14d"", ""from"": 2.0, ""to"": 1.0, ""standardized_delta"": 0.6227, ""prediction_gain_t_ha"": 0.119}, {""feature"": ""max_3day_rain"", ""from"": 60.09, ""to"": 51.03, ""standardized_delta"": 0.5797, ""prediction_gain_t_ha"": 0.0634}]"
Barley,Texas,1994,spring,max_7day_rain,excess_rain,1.7754,2.1288496969697093,0.3534496969697092,-0.28659162267798566,-0.10985572267187554,0.1767359000061101,0.5000312675929567,4,"[{""feature"": ""heat_days_40"", ""from"": 11.0, ""to"": 11.5, ""standardized_delta"": 0.0457, ""prediction_gain_t_ha"": 0.0095}, {""feature"": ""max_7day_rain"", ""from"": 99.38, ""to"": 62.62, ""standardized_delta"": 1.2183, ""prediction_gain_t_ha"": 0.14}, {""feature"": ""heat_days_35"", ""from"": 67.0, ""to"": 61.5, ""standardized_delta"": 0.2374, ""prediction_gain_t_ha"": 0.0235}, {""feature"": ""max_1day_rain"", ""from"": 23.24, ""to"": 23.83, ""standardized_delta"": 0.0405, ""prediction_gain_t_ha"": 0.0037}]"
Barley,Washington,1994,spring,max_consecutive_heat_days_30,heat,2.5286,3.2731692277992277,0.7445692277992277,-0.6786945223836077,-0.13293163897134383,0.5457628834122639,0.7329914573899476,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.007, ""standardized_delta"": 0.0053, ""prediction_gain_t_ha"": 0.0048}, {""feature"": ""wet_days_1mm"", ""from"": 53.0, ""to"": 52.0, ""standardized_delta"": 0.0855, ""prediction_gain_t_ha"": 0.0321}, {""feature"": ""frost_events_2d"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.6777, ""prediction_gain_t_ha"": 0.2321}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 0.9658, ""prediction_gain_t_ha"": 0.2767}]"
Oats,Washington,1994,spring,max_consecutive_heat_days_30,heat,2.0803,2.5619428571428564,0.4816428571428566,-0.5220836720656259,-0.165486086607812,0.3565975854578139,0.740377605874151,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.007, ""standardized_delta"": 0.0053, ""prediction_gain_t_ha"": 0.0032}, {""feature"": ""wet_days_1mm"", ""from"": 53.0, ""to"": 52.0, ""standardized_delta"": 0.0855, ""prediction_gain_t_ha"": 0.0294}, {""feature"": ""max_1day_rain"", ""from"": 12.53, ""to"": 11.35, ""standardized_delta"": 0.2337, ""prediction_gain_t_ha"": 0.0699}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 0.9658, ""prediction_gain_t_ha"": 0.254}]"
Wheat,Minnesota,1994,spring,hot_dry_days_30_1mm,drought,1.883,2.5777693050193022,0.6947693050193022,-0.5195454663079173,-0.32349888683636396,0.19604657947155335,0.28217507315771057,4,"[{""feature"": ""hot_dry_days_30_1mm"", ""from"": 0.0, ""to"": 2.0, ""standardized_delta"": 0.2447, ""prediction_gain_t_ha"": 0.1031}, {""feature"": ""heat_degree_days_30"", ""from"": 2.15, ""to"": 4.75, ""standardized_delta"": 0.0893, ""prediction_gain_t_ha"": 0.0383}, {""feature"": ""max_1day_rain"", ""from"": 28.1, ""to"": 28.19, ""standardized_delta"": 0.0073, ""prediction_gain_t_ha"": 0.002}, {""feature"": ""rain_mean"", ""from"": 3.112, ""to"": 2.99, ""standardized_delta"": 0.2024, ""prediction_gain_t_ha"": 0.0527}]"
Wheat,Texas,1994,winter,dry_spell_events_7d,drought,1.7485,2.004965555555554,0.25646555555555395,-0.2244323562249733,0.0007489279595754193,0.2244323562249733,0.8750974599252108,4,"[{""feature"": ""heatwave_events_3d_30"", ""from"": 8.0, ""to"": 7.0, ""standardized_delta"": 0.4329, ""prediction_gain_t_ha"": 0.0748}, {""feature"": ""max_3day_rain"", ""from"": 61.36, ""to"": 62.02, ""standardized_delta"": 0.0207, ""prediction_gain_t_ha"": 0.0029}, {""feature"": ""max_7day_rain"", ""from"": 99.38, ""to"": 94.105, ""standardized_delta"": 0.1441, ""prediction_gain_t_ha"": 0.0141}, {""feature"": ""dry_spell_events_7d"", ""from"": 13.0, ""to"": 17.0, ""standardized_delta"": 1.6995, ""prediction_gain_t_ha"": 0.1334}]"
Oats,Minnesota,1995,spring,heatwave_events_3d_30,heat,1.7216,2.0585443157443137,0.3369443157443137,-0.35811328782289775,-0.17165966419260378,0.18645362363029397,0.5533662831450824,4,"[{""feature"": ""rain_mean"", ""from"": 3.234, ""to"": 2.99, ""standardized_delta"": 0.4048, ""prediction_gain_t_ha"": 0.0773}, {""feature"": ""heat_degree_days_30"", ""from"": 9.31, ""to"": 4.75, ""standardized_delta"": 0.1565, ""prediction_gain_t_ha"": 0.02}, {""feature"": ""heavy_rain_days_10"", ""from"": 20.0, ""to"": 18.0, ""standardized_delta"": 0.3932, ""prediction_gain_t_ha"": 0.035}, {""feature"": ""heatwave_events_3d_30"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.6211, ""prediction_gain_t_ha"": 0.0541}]"
Oats,South Dakota,1995,spring,heatwave_events_3d_35,heat,1.6499,2.0826472114972034,0.4327472114972035,-0.32041269592466054,-0.27250489826237795,0.04790779766228259,0.11070619611050268,4,"[{""feature"": ""max_consecutive_heat_days_30"", ""from"": 8.0, ""to"": 8.25, ""standardized_delta"": 0.0327, ""prediction_gain_t_ha"": 0.0068}, {""feature"": ""heat_degree_days_35"", ""from"": 19.45, ""to"": 15.3925, ""standardized_delta"": 0.1288, ""prediction_gain_t_ha"": 0.0171}, {""feature"": ""heatwave_events_3d_35"", ""from"": 0.0, ""to"": 0.25, ""standardized_delta"": 0.1504, ""prediction_gain_t_ha"": 0.0194}, {""feature"": ""max_7day_rain"", ""from"": 63.47, ""to"": 64.325, ""standardized_delta"": 0.0366, ""prediction_gain_t_ha"": 0.0046}]"
Wheat,Kansas,1995,winter,heatwave_events_3d_30,heat,1.7485,2.4706704633204666,0.7221704633204666,-0.501892575736136,-0.2557602800675489,0.24613229566858708,0.34082298871224354,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.27, ""to"": 0.0, ""standardized_delta"": 0.0145, ""prediction_gain_t_ha"": 0.0103}, {""feature"": ""heat_days_35"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.1627, ""prediction_gain_t_ha"": 0.041}, {""feature"": ""heatwave_events_3d_30"", ""from"": 2.0, ""to"": 4.0, ""standardized_delta"": 0.9548, ""prediction_gain_t_ha"": 0.1801}, {""feature"": ""max_7day_rain"", ""from"": 109.53, ""to"": 106.795, ""standardized_delta"": 0.1209, ""prediction_gain_t_ha"": 0.0147}]"
Wheat,Minnesota,1995,spring,heatwave_events_3d_30,heat,2.152,2.634766023166023,0.4827660231660227,-0.43155826412351556,-0.24194369343509084,0.18961457068842472,0.3927670167111501,4,"[{""feature"": ""rain_mean"", ""from"": 3.234, ""to"": 2.99, ""standardized_delta"": 0.4048, ""prediction_gain_t_ha"": 0.0965}, {""feature"": ""heat_degree_days_30"", ""from"": 9.31, ""to"": 4.75, ""standardized_delta"": 0.1565, ""prediction_gain_t_ha"": 0.0226}, {""feature"": ""season_tmin_mean"", ""from"": 9.475, ""to"": 9.449, ""standardized_delta"": 0.0319, ""prediction_gain_t_ha"": 0.0044}, {""feature"": ""heatwave_events_3d_30"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.6211, ""prediction_gain_t_ha"": 0.0661}]"
Wheat,Oklahoma,1995,winter,max_dry_spell_1mm,drought,1.4123,1.9478657443157417,0.5355657443157416,-0.43933790824766766,-0.22703554784020874,0.21230236040745892,0.39640765426232444,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.965, ""standardized_delta"": 0.0386, ""prediction_gain_t_ha"": 0.0097}, {""feature"": ""max_dry_spell_1mm"", ""from"": 15.0, ""to"": 20.0, ""standardized_delta"": 0.5702, ""prediction_gain_t_ha"": 0.1122}, {""feature"": ""wet_days_1mm"", ""from"": 100.0, ""to"": 95.0, ""standardized_delta"": 0.3543, ""prediction_gain_t_ha"": 0.049}, {""feature"": ""heatwave_events_3d_30"", ""from"": 3.0, ""to"": 3.75, ""standardized_delta"": 0.3423, ""prediction_gain_t_ha"": 0.0414}]"
Barley,Oklahoma,1996,spring,heatwave_events_3d_35,heat,1.2374,2.0385309090909054,0.8011309090909053,-0.6473058131952986,-0.3050534220070134,0.34225239118828515,0.4272115671790281,4,"[{""feature"": ""heatwave_events_3d_30"", ""from"": 10.0, ""to"": 9.0, ""standardized_delta"": 0.4747, ""prediction_gain_t_ha"": 0.2151}, {""feature"": ""heat_days_40"", ""from"": 6.0, ""to"": 7.0, ""standardized_delta"": 0.0855, ""prediction_gain_t_ha"": 0.0149}, {""feature"": ""heatwave_events_3d_35"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.5677, ""prediction_gain_t_ha"": 0.0997}, {""feature"": ""wet_days_1mm"", ""from"": 78.0, ""to"": 77.0, ""standardized_delta"": 0.0874, ""prediction_gain_t_ha"": 0.0126}]"
Barley,Texas,1996,spring,max_7day_rain,excess_rain,1.8292,2.1568909090909187,0.3276909090909188,-0.35129579545225903,-0.03956085791144864,0.3117349375408104,0.9513078602199447,4,"[{""feature"": ""heatwave_events_3d_35"", ""from"": 5.0, ""to"": 4.25, ""standardized_delta"": 0.3, ""prediction_gain_t_ha"": 0.1127}, {""feature"": ""max_7day_rain"", ""from"": 89.45, ""to"": 62.62, ""standardized_delta"": 0.8892, ""prediction_gain_t_ha"": 0.1331}, {""feature"": ""heat_days_40"", ""from"": 7.0, ""to"": 5.0, ""standardized_delta"": 0.1827, ""prediction_gain_t_ha"": 0.0216}, {""feature"": ""heavy_rain_days_20"", ""from"": 3.0, ""to"": 4.0, ""standardized_delta"": 0.4321, ""prediction_gain_t_ha"": 0.0444}]"
Oats,Colorado,1996,spring,frost_events_2d,frost_cold,1.8651,2.1762754679803074,0.3111754679803074,-0.1822968578862537,0.022176830085337645,0.1822968578862537,0.5858329998487872,3,"[{""feature"": ""rain_sum"", ""from"": 305.42, ""to"": 356.76, ""standardized_delta"": 0.9023, ""prediction_gain_t_ha"": 0.0782}, {""feature"": ""rain_mean"", ""from"": 1.669, ""to"": 1.95, ""standardized_delta"": 0.9038, ""prediction_gain_t_ha"": 0.0847}, {""feature"": ""frost_events_2d"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 1.0323, ""prediction_gain_t_ha"": 0.0415}]"
Oats,Montana,1996,spring,max_consecutive_heat_days_30,heat,1.4347,1.8849992964392968,0.45029929643929667,-0.37187647549673225,-0.26870050303144544,0.10317597246528681,0.22912754534848717,4,"[{""feature"": ""season_tmean_mean"", ""from"": 13.048, ""to"": 12.954, ""standardized_delta"": 0.1013, ""prediction_gain_t_ha"": 0.0162}, {""feature"": ""season_tmax_mean"", ""from"": 19.891, ""to"": 19.811, ""standardized_delta"": 0.0719, ""prediction_gain_t_ha"": 0.0089}, {""feature"": ""max_7day_rain"", ""from"": 38.64, ""to"": 38.5, ""standardized_delta"": 0.0061, ""prediction_gain_t_ha"": 0.0007}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 0.6435, ""prediction_gain_t_ha"": 0.0773}]"
Oats,Texas,1996,spring,max_7day_rain,excess_rain,1.2195,1.5489525825825794,0.32945258258257937,-0.2689054700812124,-0.0708757590391,0.19802971104211242,0.601087141250365,4,"[{""feature"": ""heatwave_events_3d_35"", ""from"": 5.0, ""to"": 4.25, ""standardized_delta"": 0.3, ""prediction_gain_t_ha"": 0.0636}, {""feature"": ""max_7day_rain"", ""from"": 89.45, ""to"": 62.62, ""standardized_delta"": 0.8892, ""prediction_gain_t_ha"": 0.1032}, {""feature"": ""heat_days_40"", ""from"": 7.0, ""to"": 5.0, ""standardized_delta"": 0.1827, ""prediction_gain_t_ha"": 0.0157}, {""feature"": ""heat_degree_days_30"", ""from"": 670.35, ""to"": 628.96, ""standardized_delta"": 0.209, ""prediction_gain_t_ha"": 0.0154}]"
Wheat,Illinois,1996,winter,heavy_rain_days_10,excess_rain,2.5555,3.357479699699695,0.8019796996996953,-0.6385561595780819,-0.3093511916052876,0.32920496797279425,0.410490400313208,4,"[{""feature"": ""max_7day_rain"", ""from"": 91.06, ""to"": 90.965, ""standardized_delta"": 0.0033, ""prediction_gain_t_ha"": 0.0019}, {""feature"": ""max_3day_rain"", ""from"": 59.69, ""to"": 49.39, ""standardized_delta"": 0.4054, ""prediction_gain_t_ha"": 0.1287}, {""feature"": ""heavy_rain_days_10"", ""from"": 22.0, ""to"": 17.5, ""standardized_delta"": 0.6858, ""prediction_gain_t_ha"": 0.1568}, {""feature"": ""heavy_rain_days_20"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.2851, ""prediction_gain_t_ha"": 0.0419}]"
Wheat,Kansas,1996,winter,dry_days_1mm,drought,1.9503,2.4885181595881605,0.5382181595881605,-0.5311484583729479,-0.15551623887940483,0.3756322194935431,0.6979181449042398,4,"[{""feature"": ""rain_mean"", ""from"": 1.423, ""to"": 1.844, ""standardized_delta"": 0.9981, ""prediction_gain_t_ha"": 0.1218}, {""feature"": ""wet_days_1mm"", ""from"": 49.0, ""to"": 52.5, ""standardized_delta"": 0.2847, ""prediction_gain_t_ha"": 0.0442}, {""feature"": ""dry_days_1mm"", ""from"": 255.0, ""to"": 233.0, ""standardized_delta"": 1.7882, ""prediction_gain_t_ha"": 0.1527}, {""feature"": ""heatwave_events_3d_30"", ""from"": 6.0, ""to"": 4.0, ""standardized_delta"": 0.9548, ""prediction_gain_t_ha"": 0.0569}]"
Wheat,Oklahoma,1996,winter,dry_days_1mm,drought,1.2778,1.9590427069927046,0.6812427069927045,-0.6610915664687479,-0.3629989950894996,0.2980925713792483,0.437571761604841,4,"[{""feature"": ""rain_mean"", ""from"": 1.636, ""to"": 1.713, ""standardized_delta"": 0.1356, ""prediction_gain_t_ha"": 0.0478}, {""feature"": ""dry_days_2mm"", ""from"": 257.0, ""to"": 255.5, ""standardized_delta"": 0.1301, ""prediction_gain_t_ha"": 0.0267}, {""feature"": ""dry_days_1mm"", ""from"": 243.0, ""to"": 231.25, ""standardized_delta"": 0.8354, ""prediction_gain_t_ha"": 0.1577}, {""feature"": ""heatwave_events_3d_30"", ""from"": 4.0, ""to"": 3.0, ""standardized_delta"": 0.4564, ""prediction_gain_t_ha"": 0.0659}]"
Wheat,Texas,1996,winter,rain_mean,drought,1.7485,2.01651222222222,0.2680122222222199,-0.25613301073069,-0.16203962746786688,0.09409338326282313,0.35107870261531005,4,"[{""feature"": ""wet_days_1mm"", ""from"": 61.0, ""to"": 62.0, ""standardized_delta"": 0.0527, ""prediction_gain_t_ha"": 0.0163}, {""feature"": ""rain_mean"", ""from"": 1.412, ""to"": 1.6625, ""standardized_delta"": 0.3824, ""prediction_gain_t_ha"": 0.0588}, {""feature"": ""dry_days_2mm"", ""from"": 255.0, ""to"": 252.25, ""standardized_delta"": 0.1728, ""prediction_gain_t_ha"": 0.0182}, {""feature"": ""max_1day_rain"", ""from"": 27.19, ""to"": 27.02, ""standardized_delta"": 0.0093, ""prediction_gain_t_ha"": 0.0008}]"
Barley,North Dakota,1997,spring,max_consecutive_heat_days_30,heat,2.421,2.83226297297297,0.41126297297297,-0.38282307319527126,-0.20304482496542428,0.17977824822984698,0.4371369659910103,4,"[{""feature"": ""rain_mean"", ""from"": 1.612, ""to"": 1.7215, ""standardized_delta"": 0.24, ""prediction_gain_t_ha"": 0.0673}, {""feature"": ""heat_degree_days_35"", ""from"": 0.36, ""to"": 0.89, ""standardized_delta"": 0.0691, ""prediction_gain_t_ha"": 0.0179}, {""feature"": ""rain_sum"", ""from"": 295.06, ""to"": 315.025, ""standardized_delta"": 0.2391, ""prediction_gain_t_ha"": 0.0542}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.36, ""prediction_gain_t_ha"": 0.0403}]"
Oats,North Dakota,1997,spring,heatwave_events_3d_30,heat,1.5782,1.9664893093093028,0.3882893093093027,-0.37263532938445326,-0.05763626514589713,0.3149990642385561,0.811248357053361,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.36, ""to"": 0.89, ""standardized_delta"": 0.0691, ""prediction_gain_t_ha"": 0.0153}, {""feature"": ""rain_mean"", ""from"": 1.612, ""to"": 1.7215, ""standardized_delta"": 0.24, ""prediction_gain_t_ha"": 0.0518}, {""feature"": ""rain_sum"", ""from"": 295.06, ""to"": 315.025, ""standardized_delta"": 0.2391, ""prediction_gain_t_ha"": 0.042}, {""feature"": ""heatwave_events_3d_30"", ""from"": 6.0, ""to"": 2.0, ""standardized_delta"": 2.0846, ""prediction_gain_t_ha"": 0.2059}]"
Wheat,Minnesota,1997,spring,hot_dry_days_30_1mm,drought,2.152,2.748759459459464,0.5967594594594638,-0.3695394814985779,-0.25658402048583046,0.11295546101274745,0.18928139172701322,4,"[{""feature"": ""max_1day_rain"", ""from"": 25.97, ""to"": 25.81, ""standardized_delta"": 0.0129, ""prediction_gain_t_ha"": 0.006}, {""feature"": ""heat_days_30"", ""from"": 3.0, ""to"": 2.0, ""standardized_delta"": 0.0945, ""prediction_gain_t_ha"": 0.0294}, {""feature"": ""hot_dry_days_30_1mm"", ""from"": 0.0, ""to"": 2.0, ""standardized_delta"": 0.2447, ""prediction_gain_t_ha"": 0.0718}, {""feature"": ""max_3day_rain"", ""from"": 44.84, ""to"": 44.41, ""standardized_delta"": 0.026, ""prediction_gain_t_ha"": 0.0058}]"
Wheat,North Dakota,1997,spring,max_consecutive_heat_days_30,heat,1.6342,2.1632779879879678,0.5290779879879677,-0.4414811817702143,-0.26439977619127103,0.17708140557894325,0.3346981155885292,4,"[{""feature"": ""rain_mean"", ""from"": 1.612, ""to"": 1.7215, ""standardized_delta"": 0.24, ""prediction_gain_t_ha"": 0.0637}, {""feature"": ""heat_degree_days_35"", ""from"": 0.36, ""to"": 0.89, ""standardized_delta"": 0.0691, ""prediction_gain_t_ha"": 0.0175}, {""feature"": ""rain_sum"", ""from"": 295.06, ""to"": 315.025, ""standardized_delta"": 0.2391, ""prediction_gain_t_ha"": 0.0533}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.36, ""prediction_gain_t_ha"": 0.0426}]"
Wheat,South Dakota,1997,spring,heat_days_40,heat,1.9301,2.3631684384384357,0.4330684384384358,-0.3628615886264406,-0.23316385533663755,0.12969773328980302,0.2994855357214876,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.35, ""to"": 3.72, ""standardized_delta"": 0.107, ""prediction_gain_t_ha"": 0.0213}, {""feature"": ""rain_mean"", ""from"": 2.651, ""to"": 2.5842, ""standardized_delta"": 0.1495, ""prediction_gain_t_ha"": 0.0228}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 6.0, ""to"": 8.25, ""standardized_delta"": 0.2939, ""prediction_gain_t_ha"": 0.0369}, {""feature"": ""heat_days_40"", ""from"": 0.0, ""to"": 1.0, ""standardized_delta"": 0.4322, ""prediction_gain_t_ha"": 0.0488}]"
Oats,Illinois,1998,spring,max_7day_rain,excess_rain,2.0086,2.383922436722422,0.37532243672242194,-0.3527369222879043,-0.24883870771519465,0.10389821457270967,0.2768238836985648,4,"[{""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 3.5, ""standardized_delta"": 0.164, ""prediction_gain_t_ha"": 0.0407}, {""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.3, ""standardized_delta"": 0.0177, ""prediction_gain_t_ha"": 0.0027}, {""feature"": ""max_7day_rain"", ""from"": 79.11, ""to"": 65.895, ""standardized_delta"": 0.5322, ""prediction_gain_t_ha"": 0.0552}, {""feature"": ""dry_days_1mm"", ""from"": 103.0, ""to"": 103.5, ""standardized_delta"": 0.0522, ""prediction_gain_t_ha"": 0.0053}]"
