driver_group,features
heat,"heat_days_30, heat_days_35, heatwave_events_3d_30, heat_degree_days_30, season_tmax_mean"
drought,"rain_sum, rain_mean, dry_days_1mm, max_dry_spell_1mm, dry_spell_events_7d, dry_spell_events_14d, hot_dry_days_30_1mm"
frost_cold,"frost_days_0, cold_days_5, min_tmin, frost_events_2d, season_tmin_mean"
excess_rain,"wet_days_1mm, heavy_rain_days_10, heavy_rain_days_20, max_1day_rain, max_3day_rain, max_7day_rain"
radiation,"radiation_sum, radiation_mean"
