crop,region,year,window,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,analog_year,analog_distance,analog_rank_used,fallback_region_window_pool
Barley,Colorado,1990,spring,drought,dry_days_2mm,4.3041,4.9403294294294255,0.6362294294294255,-0.5854088856542644,0.7559242594014232,0.5854088856542644,0.9201222995598659,2005,0.9058258793501297,2,False
Oats,Colorado,1990,spring,drought,dry_days_2mm,1.7934,2.0998372413793227,0.3064372413793226,-0.3606533666309084,0.4285447978695518,0.3064372413793226,1.0,2005,0.9058258793501297,2,False
Oats,Montana,1990,spring,drought,max_dry_spell_1mm,1.4347,1.9463192192192196,0.5116192192192195,-0.3878607504320099,0.31805985834986117,0.3878607504320099,0.7581043398328996,2004,0.9598244350862419,10,False
Barley,Colorado,1991,spring,frost_cold,min_tmin,4.3041,5.016868065208058,0.7127680652080581,-0.5236963720199761,0.5815207561115734,0.5236963720199761,0.7347360208500759,2009,0.6893126894823974,5,False
Barley,Texas,1991,spring,frost_cold,frost_events_2d,1.7216,2.0867878787878986,0.3651878787878986,-0.31615995303477484,0.3650583737656094,0.31615995303477484,0.865746021155321,1997,1.747380141461881,6,False
Oats,Iowa,1991,spring,drought,dry_spell_events_14d,1.7934,2.1940560145860033,0.4006560145860032,-0.3723602062711274,0.3598194206153261,0.3723602062711274,0.9293763046484806,2025,0.5966044152059753,2,False
Oats,Minnesota,1991,spring,drought,dry_days_2mm,1.4347,1.9859069412269363,0.5512069412269363,-0.45715340052634873,0.4002766805067967,0.45715340052634873,0.8293680038004729,2025,0.9032679778160256,7,False
Wheat,Illinois,1991,winter,excess_rain,max_7day_rain,2.152,3.0019648348348085,0.8499648348348083,-0.6891355134642925,0.39632974021004236,0.6891355134642925,0.8107812055521412,1999,0.7922502621043589,4,False
Wheat,Washington,1991,winter,excess_rain,heavy_rain_days_10,3.0868,3.8926784641784575,0.8058784641784573,-0.6229963540603755,0.5610253536972648,0.6229963540603755,0.7730648996750165,2011,1.000748967652267,8,False
Barley,Colorado,1992,spring,excess_rain,heavy_rain_days_25,4.3579,5.093406700986691,0.7355067009866909,-0.5734420342503215,0.5815207561115735,0.5734420342503215,0.7796557576987976,2009,1.4312605673025731,10,False
Barley,Washington,1992,spring,excess_rain,heavy_rain_days_25,2.421,3.2568276319176324,0.8358276319176325,-0.7184904875655648,1.0290763200120616,0.7184904875655648,0.8596156194515104,2020,1.2020558465618465,5,False
Wheat,Nebraska,1992,winter,heat,max_consecutive_heat_days_30,2.0175,2.416996151866151,0.39949615186615084,-0.3294541493272275,0.4627831871535865,0.3294541493272275,0.8246741496464012,1998,0.7613475208338256,3,False
Wheat,Washington,1992,winter,heat,heatwave_events_3d_30,3.3222,3.901601823251818,0.5794018232518181,-0.6014500421648209,0.6330158263864659,0.5794018232518181,1.0,2020,1.3886148982014206,9,False
Barley,Colorado,1993,spring,drought,dry_spell_events_7d,4.5731,5.169945336765323,0.5968453367653233,-0.43538986919043393,0.59659241882946,0.43538986919043393,0.7294852491435769,2010,1.0572824437385169,8,False
Oats,Illinois,1993,spring,drought,dry_days_2mm,1.8292,2.2663275203775086,0.4371275203775087,-0.4475895262494308,0.2253807042489573,0.4371275203775087,1.0,1990,1.2489823617923521,1,False
Oats,Iowa,1993,spring,drought,dry_days_2mm,1.4347,2.2300232990132898,0.7953232990132897,-0.6327522157871693,0.1989739542769327,0.6327522157871693,0.7955911974063722,1990,1.4421681780716094,1,False
Oats,Kansas,1993,spring,excess_rain,heavy_rain_days_50,1.2195,1.734650960960959,0.515150960960959,-0.22416040285545763,0.22582086762954626,0.22416040285545763,0.4351353677712459,1992,1.0295434795590401,1,False
Oats,Nebraska,1993,spring,heat,heatwave_events_3d_30,1.5423,2.06665645216645,0.5243564521664501,-0.4325120151072155,0.5385888942772432,0.4325120151072155,0.8248435073512173,2014,1.1785340508286175,5,False
Wheat,Iowa,1993,winter,heat,season_tmean_mean,1.6813,2.680891674876861,0.999591674876861,-0.8192041426453155,0.006601491550388821,0.8192041426453155,0.8195387809189515,1998,1.1354395589548505,3,False
Barley,Texas,1994,spring,frost_cold,frost_events_2d,1.7754,2.1288496969697093,0.3534496969697092,-0.28659162267798555,0.36505837376560935,0.28659162267798555,0.8108413308458617,1997,1.5118123371696315,6,False
Barley,Washington,1994,spring,excess_rain,heavy_rain_days_10,2.5286,3.2731692277992277,0.7445692277992277,-0.6786945223836078,1.0290763200120616,0.6786945223836078,0.9115264196314826,2020,0.7967266526208394,3,False
Oats,Washington,1994,spring,heat,season_tmax_mean,2.0803,2.5619428571428564,0.4816428571428566,-0.5220836720656258,0.45918406050779587,0.4816428571428566,1.0,2012,0.6035233375842036,1,False
Wheat,Minnesota,1994,spring,drought,dry_days_2mm,1.883,2.5777693050193022,0.6947693050193022,-0.5195454663079173,0.8405474387383882,0.5195454663079173,0.74779565325426,1992,0.8919356521630994,10,False
Wheat,Texas,1994,winter,heat,heat_days_40,1.7485,2.004965555555554,0.25646555555555395,-0.2244323562249733,0.29207147737915373,0.2244323562249733,0.8750974599252108,2021,0.9729669771696339,8,False
Oats,Minnesota,1995,spring,excess_rain,heavy_rain_days_50,1.7216,2.0585443157443137,0.3369443157443137,-0.3581132878228978,0.469633461997344,0.3369443157443137,1.0,1990,0.9299527805531892,8,False
Oats,South Dakota,1995,spring,drought,max_dry_spell_1mm,1.6499,2.0826472114972034,0.4327472114972035,-0.32041269592466054,0.5865528795937944,0.32041269592466054,0.7404153912768334,2014,0.7571695629649323,1,False
Wheat,Kansas,1995,winter,heat,max_consecutive_heat_days_35,1.7485,2.4706704633204666,0.7221704633204666,-0.501892575736136,0.6094305791986427,0.501892575736136,0.6949779882002993,2003,1.0137569518960454,7,False
Wheat,Minnesota,1995,spring,excess_rain,heavy_rain_days_50,2.152,2.634766023166023,0.4827660231660227,-0.4315582641235156,0.6843531617764522,0.4315582641235156,0.8939284113105516,1990,0.9299527805531892,9,False
Wheat,Oklahoma,1995,winter,excess_rain,heavy_rain_days_50,1.4123,1.9478657443157417,0.5355657443157416,-0.43933790824766766,0.4296551633635788,0.43933790824766766,0.8203248861799066,2019,0.8318829215599791,3,False
Barley,Oklahoma,1996,spring,heat,max_consecutive_heat_days_30,1.2374,2.0385309090909054,0.8011309090909053,-0.6473058131952986,0.45046209741984716,0.6473058131952986,0.8079900623605174,1998,1.9960010435302502,9,False
Barley,Texas,1996,spring,frost_cold,frost_events_2d,1.8292,2.1568909090909187,0.3276909090909188,-0.35129579545225903,0.3650583737656094,0.3276909090909188,1.0,1997,1.5203425938709223,6,False
Oats,Colorado,1996,spring,drought,max_dry_spell_1mm,1.8651,2.1762754679803074,0.3111754679803074,-0.18229685788625372,0.30979782763520763,0.18229685788625372,0.5858329998487872,2015,0.9307178442242076,8,False
Oats,Montana,1996,spring,drought,dry_spell_events_7d,1.4347,1.8849992964392968,0.45029929643929667,-0.3718764754967323,0.3180598583498612,0.3718764754967323,0.8258428970183028,2004,0.7755433709166637,3,False
Oats,Texas,1996,spring,drought,dry_days_1mm,1.2195,1.5489525825825794,0.32945258258257937,-0.26890547008121235,0.0746426642733531,0.26890547008121235,0.816219038179218,2018,1.0151564395008887,10,False
Wheat,Illinois,1996,winter,drought,max_dry_spell_1mm,2.5555,3.357479699699695,0.8019796996996953,-0.638556159578082,0.6078738337560351,0.638556159578082,0.7962248418721721,1997,0.7212757496438846,2,False
Wheat,Kansas,1996,winter,drought,dry_days_1mm,1.9503,2.4885181595881605,0.5382181595881605,-0.531148458372948,0.6511953768409301,0.531148458372948,0.9868646178333667,1998,1.0892711620763982,9,False
Wheat,Oklahoma,1996,winter,drought,max_dry_spell_1mm,1.2778,1.9590427069927046,0.6812427069927045,-0.6610915664687479,0.5579193691312002,0.6610915664687479,0.9704200275215975,1998,1.2071500081645994,7,False
Wheat,Texas,1996,winter,heat,heatwave_events_3d_30,1.7485,2.01651222222222,0.2680122222222199,-0.25613301073069,0.2879868205274986,0.25613301073069,0.955676605368839,1998,0.9680188300694261,6,False
